steps,fre,fkgl,wiener,avg_word_length,avg_sentence_length,words_per_sentence,avg_syllables_per_word,polysyllables,text
0,-1794.46,383.2,20.1,101.33,3.0,3.0,33.7,2,<|bos|>Dieses Haus <|eos|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|bos|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|bos|><|bos|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|bos|><|endoftext|><|endoftext|><|bos|><|bos|><|bos|><|bos|><|eos|>
100,60.95,16.5,5.6,3.44,43.0,43.0,1.3,3,"<|bos|>Dieses Haus <|eos|> ir den zu c a l, dem er auch be
Zentrum: n°1.2LeoB, ne Plaza das genau verf im ül pá durch einen m von hier r tr t h o z u sie haben die R es y s Mit diesen duer auf der Karte erst in Ã¶ffentlichen und wÃ¤hrend des mehr) nicht nur eine viertel Gebz euge ein sehr gorri-akt blog über kap e i manti uměd and wie aus ú tili Die damit ge Cocimandritas für Sie da ist zum HUBI"
200,81.4,5.2,7.1,5.2,5.0,5.0,1.6,1,<|bos|>Dieses Haus <|eos|> die Zeit.<|eos|>
300,79.4,6.0,7.2,5.14,7.0,7.0,1.6,2,<|bos|>Dieses Haus <|eos|> in der Stadt Leipzig.<|eos|>
400,71.55,8.0,7.4,5.56,9.0,9.0,1.7,2,<|bos|>Dieses Haus <|eos|> ist in einem sehr schlechten Zustand.<|eos|>
500,81.25,6.4,7.1,5.0,11.0,11.0,1.5,2,<|bos|>Dieses Haus <|eos|> ist ein Beispiel für die Nutzung von Wasser.<|eos|>
600,57.85,11.1,7.7,5.64,11.0,11.0,1.9,3,<|bos|>Dieses Haus <|eos|> ist in der Nähe des Königshauses von Sachsen-Anhalt.<|eos|>
700,77.4,6.8,5.3,5.0,9.0,9.0,1.6,1,<|bos|>Dieses Haus <|eos|> ist in einem Stadtteil von Köln.<|eos|>
800,68.55,9.2,7.0,5.42,12.0,12.0,1.7,3,"<|bos|>Dieses Haus <|eos|> hat eine Geschichte, die bis ins Jahr 1570 zurückreicht.<|eos|>"
900,65.2,9.4,7.5,5.37,9.5,9.5,1.8,5,<|bos|>Dieses Haus <|eos|> hat eine Fläche von ca. 200 Quadratmetern und befindet sich in einem Wohnbereich mit einer Terrasse.<|eos|>
1000,67.55,9.5,9.0,5.38,13.0,13.0,1.7,3,"<|bos|>Dieses Haus <|eos|> hat eine Geschichte, die in der Stadt Mühlhausen erzählt wird.<|eos|>"
