,URL,title,text_leicht
1,https://hurraki.de/wiki/Leichter_Sprache,Leichte Sprache,"
Regeln für Leichte Sprache[Bearbeiten | Quelltext bearbeiten]
So schreibt und spricht man in Leichter Sprache:

Kurze Sätze (nicht mehr als 12 Wörter)
Keine Kindersprache
Keine Fremdwörter oder Fachbegriffe (wenn doch, muss man das Fremdwort erklären)
Tätigkeitsworte / Verben verwenden
Nur eine Information pro Satz
Keine Abkürzungen
Keine langen Wörter (Lange Wörter zum Beispiel mit einem Medion·punkt trennen)

So soll Leichte Sprache in Texten aussehen:

Große Schrift
Gut lesbare Schriftart. Zum Beispiel der Schriftart Arial
Keine Texte in GROSSBUCHSTABEN schreiben
Kein Blocksatz
Keine Spalten
Genügend große Absätze
Erklärende Bilder, Symbole und Fotos

Das Gegenteil von Leichter Sprache ist:
""Schwere Sprache"" oder ""Umgangssprache""


Einfache Sprache[Bearbeiten | Quelltext bearbeiten]
Einfache Sprache ist ähnlich wie Leichte Sprache. 
Sie ist schwieriger als Leichte Sprache. 
Bei der Einfachen Sprache können die Sätze bis 15 Wörter haben. 
Das heißt: die Sätze können länger sein. 
Bei der Einfachen Sprache sollen keine Fremdwörter vorkommen.

"
2,https://hurraki.de/wiki/Aarhus-Konvention,Aarhus-Konvention,"
Die Aarhus-Konvention gibt es seit dem Jahr 1998.
47 Staaten haben den Vertrag unterschrieben.

Die Europäische Union hat den Vertrag unterschrieben.
Und alle Länder in der Europäischen Union haben den Vertrag unterschrieben.
Der Vertrag ist in der Stadt Aarhus gemacht worden. 

Es gibt diese 3 Punkte: 

Zugang zu Informationen[Bearbeiten | Quelltext bearbeiten]
Das steht im Artikel 4. 
Man kann nach·fragen. 
Dann muss man Informationen von den Behörden bekommen. 
Zum Beispiel wie die Luft ist. 
Oder wie das Wasser ist.


Öffentlichkeits·beteiligung[Bearbeiten | Quelltext bearbeiten]
Viele müssen bei Entscheidungen beteiligt werden. 
Das heißt,
Mitglieder dürfen bei Umwelt·sachen mit·bestimmen. 


Zugang zu Gerichten bei Umwelt·belangen[Bearbeiten | Quelltext bearbeiten]
Das steht im Artikel 9. 
Mitglieder dürfen vor Gericht gehen. 
Wenn Umwelt·regeln nicht beachtet werden.





"
3,https://hurraki.de/wiki/Aaron_Fotheringham,Aaron Fotheringham,"
Aaron Fotheringham ist Amerikaner.
Er kommt 8. November 1991 auf die Welt.
Das war in Las Vegas, USA.
Aaron Fotheringham hat Spina bifida.

In seiner Freizeit fährt er mit anderen in der Half Pipe.
Sein Rollstuhl hat eine Federung. 
Im Jahr 2006 hat Aaron Fotheringham zum ersten Mal einen Back·flip im Roll·stuhl gemacht.
Das ist ein Salto rückwärts.
Im Jahr 2010 hat er einen doppelten Back·flip gemacht. 

Aaron spiel bei der Fernseh·serie Nitro Circus mit.




"
4,https://hurraki.de/wiki/ABBA,ABBA,"
Die Sängerinnen sind Agnetha Fältskog und Anni-Frid Lyngstad. 
Die Musik·produzenten heißen Björn Ulvaeus und Benny Andersson.
Sie sind auch die Komponisten.

Die Pop·gruppe wurde 1972 in Stockholm, Schweden gegründet. 
ABBA ist eine der erfolgreichsten Bands. 
Sie haben fast 400 Millionen Ton·träger verkauft. 

Berühmt wurden ABBA mit dem Musik·titel Dancing Queen.
Und mit dem Musik·titel The Winner Takes It All. 

Im Jahr 2021 gibt es von ABBA ein neues Musik·album.
Obwohl sie sich schon im Jahr 1983 getrennt hatten.

"
5,https://hurraki.de/wiki/Abbruchkante,Abbruchkante,"
Eine Ab·bruch·kante kann es durch einen Bruch geben. 
Das heißt,
die Erde bricht an einer Stelle ab. 

Im Tage·bau werden Ab·bruch·kanten extra gemacht. 
Durch die Arbeits·geräte werden die Ab·bruch·kanten größer.

"
6,https://hurraki.de/wiki/Abendland,Abendland,"
Wenn es Abend wird, geht die Sonne unter. 
Und zwar im Westen. 
Darum sagt man zu den Ländern im Westen: Abend·land. 

Im Osten geht die Sonne auf.
Darum sagt man zu den Ländern im Osten: Morgen·land.

"
7,https://hurraki.de/wiki/Abendrot,Abendrot,
8,https://hurraki.de/wiki/Abfall,Abfall,"
Es gibt verschiedene Arten von Abfall.
Zum Beispiel:

Papier·abfall
Verpackungs·abfall
Grün·abfall
Haus·abfall
Sperr·müll
Elektro·schrott
Man sammelt den Abfall in Tonnen. 
Oder in Säcken.
Die Tonnen oder Säcke haben verschiedene Farben.
Damit man erkennt, 
welcher Abfall in welche Tonne muss.
Oder in welchen Sack. 
Man nennt das: Müll·trennung.


 Ein Berg aus Abfall auf der Straße


Manchmal kann man aus Abfall neue Sachen machen.  
Zum Beispiel: 
Aus alten Glas·flaschen kann man neue Glas·flaschen machen. 
Das heißt:
Der Abfall wird wieder verwertet. 
Man sagt dazu auch: Recycling.  
Das spricht man: Ri-seik-ling.


"
9,https://hurraki.de/wiki/Abfalltrennung,Abfalltrennung,"
Aus vielen Abfällen kann man neue Sachen machen. 
Zum Beispiel:

Aus altem Glas werden neue Glas·flaschen gemacht.
Aus altem Papier wird neues Papier gemacht.

Damit das klappt, müssen alle ihre Abfälle trennen. 
Das ist gut für die Umwelt: 
Wenn man einen Teil vom Abfall wieder benutzt. 
Dann bleibt weniger Abfall übrig. 

Der Abfall kommt in Tonnen oder Säcke. 
Sie haben verschiedene Farben.
An der Farbe kann man erkennen, 
welcher Abfall in die Tonne darf. 
Oder in den Sack.

"
10,https://hurraki.de/wiki/Abfindung,Abfindung,"
Bei einer Abfindung bekommt man etwas. 
Weil man mit etwas aufhört. 
Man bekommt zum Beispiel Geld. 
Das Geld ist die Abfindungs·zahlung. 

In Deutschland gibt es ein Recht auf Abfindung. 
Das steht im Arbeits·recht.

"
11,https://hurraki.de/wiki/Abgeordnete,Abgeordnete,"
Abgeordnete werden von Menschen für eine bestimmte Zeit gewählt. 

Abgeordnete gehören meistens einer Partei in der Politik an. 
Sie reden und diskutieren über Gesetze.

Sie sollen im Parlament ihre Wähler vertreten. 
Das heißt, 
sie entscheiden über dass Interesse ihrer Bürger. 
Abgeordnete arbeiten in Gruppen zusammen. 
Diese Gruppen heißenAusschüsse. 

Welche Aufgaben und Pflichten Abgeordnete haben, 
steht im Abgeordneten·gesetz.

Abgeordnete bekommen für ihre Arbeit Geld. 
Das sind die Diäten.

"
12,https://hurraki.de/wiki/Abgeordnete,Abgeordnete,"
Abgeordnete werden von Menschen für eine bestimmte Zeit gewählt. 

Abgeordnete gehören meistens einer Partei in der Politik an. 
Sie reden und diskutieren über Gesetze.

Sie sollen im Parlament ihre Wähler vertreten. 
Das heißt, 
sie entscheiden über dass Interesse ihrer Bürger. 
Abgeordnete arbeiten in Gruppen zusammen. 
Diese Gruppen heißenAusschüsse. 

Welche Aufgaben und Pflichten Abgeordnete haben, 
steht im Abgeordneten·gesetz.

Abgeordnete bekommen für ihre Arbeit Geld. 
Das sind die Diäten.

"
13,https://hurraki.de/wiki/Abgeordneten,Abgeordnete,"
Abgeordnete werden von Menschen für eine bestimmte Zeit gewählt. 

Abgeordnete gehören meistens einer Partei in der Politik an. 
Sie reden und diskutieren über Gesetze.

Sie sollen im Parlament ihre Wähler vertreten. 
Das heißt, 
sie entscheiden über dass Interesse ihrer Bürger. 
Abgeordnete arbeiten in Gruppen zusammen. 
Diese Gruppen heißenAusschüsse. 

Welche Aufgaben und Pflichten Abgeordnete haben, 
steht im Abgeordneten·gesetz.

Abgeordnete bekommen für ihre Arbeit Geld. 
Das sind die Diäten.

"
14,https://hurraki.de/wiki/Abgeordnetengesetz,Abgeordnetengesetz,"
Ein Abgeordneter soll die Bürgerinnen und Bürger vertreten. 
Er darf nicht einfach machen, was er will. 
Was er darf und was nicht, steht im Abgeordneten·gesetz.
Das Gesetz sagt auch, wie viel Geld ein Abgeordneter bekommt.




"
15,https://hurraki.de/wiki/Abgeordneter,Abgeordnete,"
Abgeordnete werden von Menschen für eine bestimmte Zeit gewählt. 

Abgeordnete gehören meistens einer Partei in der Politik an. 
Sie reden und diskutieren über Gesetze.

Sie sollen im Parlament ihre Wähler vertreten. 
Das heißt, 
sie entscheiden über dass Interesse ihrer Bürger. 
Abgeordnete arbeiten in Gruppen zusammen. 
Diese Gruppen heißenAusschüsse. 

Welche Aufgaben und Pflichten Abgeordnete haben, 
steht im Abgeordneten·gesetz.

Abgeordnete bekommen für ihre Arbeit Geld. 
Das sind die Diäten.

"
16,https://hurraki.de/wiki/Abh%C3%B6ren_(Wort%C2%B7kl%C3%A4rung),Abhören (Wort·klärung),
17,https://hurraki.de/wiki/Abh%C3%B6ren,Abhören,"
Es gibt verschiedene Werkzeuge zum Abhören. 
Das sind  Abhörgeräte.

Sehr oft ist das Abhören nicht erlaubt. 

Man kann sich gegen Abhören schützen. 
Dafür benutzt man einen Abhörschutz.


Andere Bedeutung[Bearbeiten | Quelltext bearbeiten]
Das Wort Abhören kann noch andere Bedeutungen haben:

Nachrichten Abhhören, die auf dem Anrufbeantworter sind,
Herz·geräusche Abhören, mit einem Stethoskop.
Einen Schüler Abhören, weil er für einen Test lernen muss.
Ein Lied abhören, das man gerade produziert, das heißt herstellt
"
18,https://hurraki.de/wiki/Abitur,Abitur,"
Das Abitur ist der höchste Schul·abschluss. 
Man macht es nach der 12. oder 13. Klasse. 
Mit einem Abitur darf man studieren.

In Österreich und in der Deutsch·schweiz gibt es auch ein Abitur.
Die Menschen sagen dazu: Matura.

"
19,https://hurraki.de/wiki/Abk%C3%BCrzung,Abkürzung,"
Eine Abkürzung ist eine kurze Form von einem Wort.
Hat aber die Bedeutung von dem langen Wort. 

Meistens wird eine Abkürzung mit einem Punkt (.) geschrieben. 
Zum Beispiel:
z.B. ist die Abkürzung von: zum Beispiel 


"
