,Source,URL,sents_leicht,sents_standard
0,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Städte können viel gegen den Klima·wandel tun,Städte können einen großen Beitrag zur Bekämpfung des Klimawandels leisten.
1,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Forscher sagen: Städte können viel gegen den Klima·wandel tun. Machen Städte etwas gegen den Klima·wandel? Dann ist der Klima·wandel nicht so schlimm.,"Forscher sagen, dass Städte etwas gegen den Klimawandel tun können, um seine Auswirkungen abzuschwächen."
2,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Das Wetter an einem Ort über eine lange Zeit heisst: Klima. Beim Klima·wandel ändert sich das Klima. Zum Beispiel: In der Schweiz war es früher kälter.,Klima bezeichnet das langfristige Wetter an einem bestimmten Ort.
3,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,In der Schweiz ist es jetzt wärmer. Das hat der Klima·wandel gemacht. Vielleicht ändert sich das Klima noch stärker. Dann ist das schlimm für die Erde.,"Beim Klimawandel ändert sich das Klima, zum Beispiel wird es in der Schweiz wärmer als früher."
4,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Wieso gibt es den Klima·wandel?,
5,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Es gibt viele Gründe für den Klima·wandel. Nicht nur ein Grund ist schuld. Ein wichtiger Grund ist: Es gibt zu viel CO2 in der Luft.,"Der Klimawandel hat viele Ursachen, aber einer der Hauptgründe ist der hohe Gehalt von CO2 in der Luft."
6,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,CO2 ist ein Gas.,
7,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Ein anderes Wort für CO2 ist: Kohlen·stoff·dioxid. CO2 entsteht in vielen Situationen. Zum Beispiel: CO2 ist in den Abgasen drin.,"CO2, auch bekannt als Kohlendioxid, entsteht in verschiedenen Situationen, wie beim Autofahren, bei der Kohleverbrennung und in Fabriken."
8,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Abgase entstehen,
9,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,beim Auto·fahren.,
10,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,beim Heizen mit Kohle.,
11,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,in einer Fabrik.,
12,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Ist viel CO2 in der Luft? Dann wird es auf der Erde immer wärmer. Das ist der Klima·wandel. Welche Folgen hat der Klima·wandel?,"Wenn viel CO2 in der Luft ist, erwärmt sich die Erde, was zu Folgen wie Hitzewellen, Überschwemmungen und Stürmen führt."
13,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Der Klima·wandel hat viele Folgen.,
14,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Zum Beispiel:,
15,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Es wird immer wärmer.,
16,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Es gibt mehr Überschwemmungen.,
17,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Es gibt mehr Stürme.,
18,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Deshalb müssen die Menschen etwas tun gegen den Klima·wandel.,
19,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Die Menschen können das Klima schützen.,
