,URL,title,text_leicht
0,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-blaues-wunder-radweg-fahrrad-100.html,In Dresden soll es jetzt doch einen neuen Fahrrad-Weg geben,"Das Blaue Wunder ist eine Brückein der Stadt Dresden.Dort sollte schon lange ein neuer Fahrrad-Weg gemacht werden.Das hat der Stadt-Rat vor 22 Jahren bestimmt.In der Mitte vom Monat Septembersollte es dann losgehen.Auf der Brücke sollten die Linien für den Fahrrad-Weg auf-gemalt werden.Aber dann wurde der neue Fahrrad-Weg doch nicht gemacht.Denn der Ober-Bürgermeister war dagegen.

Viele Menschen fanden das nicht gut.Sie haben eine Demo gemacht.Damit wollten sie zeigen:Ein Fahrrad-Weg auf der Brücke ist wichtig.Denn es gab immer wieder Unfälle auf der Brücke.Dabei wurden mehrere Fahrrad-Fahrer verletzt.

Jetzt soll der Fahrrad-Weg doch gemacht werden.In der Mitte vom Monat Oktober wird der neue Fahrrad-Weg auf-gemalt.Er soll für 6 Monate bleiben.In dieser Zeit wird geprüft:Ob der Fahrrad-Weg ein Problem für die Auto-Fahrer ist.Zum Beispiel:Weil die Autos dann nicht mehr so schnell über die Brücke fahren können.Vielleicht wird der Fahrrad-Wegdann doch wieder weg-gemacht.

Der ADFC ist ein großer Fahrrad-Verein.Er hat mit den Menschen zusammen die Demo gemacht.Ein Sprecher von dem Verein hat gesagt:Wir freuen uns,dass der neue Fahrrad-Weg endlich gemacht wird."
1,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-thueringen-polizei-razzia-wohnungen-durchsucht-gefaelschte-papiere-100.html,Die Bundes-Polizei hat nach falschen Papieren gesucht,"Die Bundes-Polizei hat am Mittwoch12 Wohnungen durchsucht.Das war in den Bundes-Ländern Sachsen und Thüringen.Die Bundes-Polizei denkt:Die Menschen in den Wohnungen haben falsche Papiere.

Die Bundes-Polizeiund die Staats-Anwaltschaft aus der Stadt Leipzig sagen:Sie haben die Wohnungen von 1 Frauund 11 Männern durchsucht.Diese Menschen kommen aus den Ländern:    • Afghanistan,    • Georgien,    • Irak,    • Türkei und    • Deutschland.

Die Bundes-Polizei hat bei der Durchsuchungverschiedene falsche Papiere beschlag-nahmt. Zum Beispiel:    • Reise-Pässe,    • Visa,    • Aufenthalts-Erlaubnisse und    • Führer-Scheine.

Und die Bundes-Polizei hat noch andere Sachen gesammelt.Damit will sie beweisen:Wo die falschen Papiere herkommen."
2,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-grossenhain-kleinflugzeug-absturz-lagerhalle-100.html,In Großenhain ist ein Flugzeug abgestürzt,"Großenhain ist eine Stadt im Bundes-Land Sachsen.Dort ist ein Unglücks-Fall passiert.

Die Polizei-Direktion von der Stadt Dresden hat gesagt:Ein kleines Flugzeug istgegen eine Mauer geflogen.Das Flugzeug ist dann abgestürzt.Und das Flugzeug hat gebrannt.Das war am Mittag vom Mittwoch.

Der Pilot von dem Flugzeug war ein Mann.Der Mann ist der Besitzer von dem Flugzeug.Er war 62 Jahre alt.Er ist bei dem Absturz gestorben.

Thomas Geithner ist ein Polizei-Sprecher.Er hat gesagt:Der Absturz war vor einer Lager-Halle.In der Lager-Halle war kein Mensch.Deshalb wurde kein anderer Mensch verletzt."
3,https://www.mdr.de/nachrichten-leicht/leichte-sprache-mitteldeutschland-krankenhaeuser-finanznot-proteste-gesundheit-100.html,Die Mitarbeiter von mehreren Krankenhäusern haben für mehr Geld demonstriert,"In Mittel-Deutschland gibt es einige Krankenhäuser und Kliniken.Dort arbeiten viele Menschen.Und diese Menschen haben am Mittwoch eine Demo gemacht.Denn sie sagen:Wir bekommen zu wenig Geld für unsere Arbeit.Und wir brauchen mehr Geld.Dieses Geld soll zum Beispiel der Bund geben.

Die Stadt Grimma ist im Bundes-Land Sachsen.Dort haben auch viele Menschen demonstriert.Denn im Krankenhaus in Grimma sollen baldkeine Babys mehr geboren werden:Weil es ab dem Jahr 2024 keine Geburts-Station mehr geben soll.Das ist für viele Menschen sehr schlecht.Denn sie müssen dann für die Geburt in eine andere Stadt fahren.

Petra Grimm-Benne ist im Bundes-Land Sachsen-Anhaltdie Gesundheits-Ministerin.Sie hat einen offenen Briefvon der Krankenhaus-Gesellschaft Sachsen-Anhalt bekommen.Dort steht geschrieben:Einige Kliniken wird es im nächsten Jahrvielleicht schon nicht mehr geben.Denn sie müssen wegen Insolvenz schließen:Weil sie nicht mehr genug Geld haben.

Im Bundes-Land Thüringen gibt es auch eine Krankenhaus-Gesellschaft.Sie hat gesagt:Auch in Thüringen haben die Krankenhäuser zu wenig Geld.Deshalb soll der Bund ein besseres Gesetz machen:Damit die Krankenhäuser wieder mehr Geld bekommen.

Das sagt die Gewerkschaft Verdi zu den Demos

Sylvia Bühler ist im Vorstand bei der Gewerkschaft Verdi.Sie hat gesagt:Die Demos sind sehr gut und wichtig.Denn Krankenhäuser sind sehr wichtig für die Menschen.Zum Beispiel:Damit die Menschen gut behandelt werden können.Deshalb sollten keine Krankenhäuser oder Kliniken geschlossen werden."
4,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-krauschwitz-fluechtlinge-transporter-schleuser-jugendlicher-festgenommen-100.html,Die Bundes-Polizei hat einen 15-jährigen Jugendlichen fest-genommen,"Krauschwitz ist eine Gemeinde im Landkreis Görlitz.Das ist im Bundes-Land Sachsen.Am Montag hat die Bundes-Polizei dort einen Transporter kontrolliert.Das war am späten Abend vom Montag.

In dem Transporter waren 27 geflüchtete Menschen.Davon waren 23 Menschen aus dem Land Syrien.Und 4 Menschen kommen aus dem Land Jemen.Die Bundes-Polizei hat dannden Fahrer vom Transporter fest-genommen,weil er vielleicht ein Schleuser ist.Das bedeutet:Er hat die Menschen vielleicht illegal nach Deutschland gebracht.

Informationen über den Fahrer vom Transporter

Am Dienstag hat die Bundes-Polizei erzählt:Der Fahrer vom Transporter ist ein Jugendlicher.Er ist 15 Jahre alt.Und er kommt aus dem Land Syrien.Er hat zur Bundes-Polizei gesagt:    • Er hat keinen Führer-Schein.    • Und er hat erst vor einigen Tagen gelernt,      wie er den Transporter fährt.

Der Jugendliche wird seit einiger Zeit vermisst,weil er aus einer Einrichtung weg-gelaufen ist.Das ist eine Einrichtung für Kinder und Jugendlicheim Bundes-Land Thüringen."
5,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-dresden-blaues-wunder-demo-fahrrad-streifen-100.html,In Dresden gab es eine Demo für einen neuen Fahrrad-Weg,"In der Stadt Dresden gibt es eine alte Brücke.Die Brücke heißt: Blaues Wunder.Dort sollte es ab Sonntageinen neuen Fahrrad-Weg geben.Aber der Fahrrad-Weg wurde doch nicht gemacht.Das ist wegen Dirk Hilbert so.Er ist der Ober-Bürgermeister von Dresden.

Viele Menschen finden das nicht gut.Deshalb haben sie am Montag eine Demo gemacht.Mit der Demo wollten die Menschen zeigen:Dass ein Fahrrad-Weg auf der Brücke wichtig ist.

Der ADFC ist ein großer Fahrrad-Verein.Er hat mit den Menschen die Demo gemacht.Ein Sprecher von dem Verein hat gesagt:In den letzten 3 Jahren gab es mehrere Unfälle.Dabei wurden auf der Brücke 9 Fahrrad-Fahrer verletzt.Damit es weniger Unfälle gibt:Muss es einen Fahrrad-Weg geben.

Vor 22 Jahren wurde im Stadt-Rat bestimmt:Dass es einen Fahrrad-Weg auf der Brücke geben soll.Aber jetzt gibt es immer-noch keinen neuen Fahrrad-Weg."
6,https://www.mdr.de/nachrichten-leicht/leichte-sprache-deutschland-halbleiter-industrie-foerderung-100.html,Bestimmte Firmen in Deutschland bekommen jetzt sehr viele Förder-Gelder,"In Deutschland gibt es viele Firmenfür bestimmte Computer-Teile.Diese Computer-Teile heißen auch: Halbleiter.Deshalb werden die Firmen oft Halbleiter-Firmen genannt.    • Die Bundes-Regierung    • und die Landes-Regierungenwollen jetzt sehr viele Förder-Gelderfür die Halbleiter-Firmen geben.Das sollen 4 Milliarden Euro sein.

Robert Habeck hat etwas dazu gesagt

Robert Habeck ist der Wirtschafts-Minister von Deutschland.Er hat gesagt:Viele Halbleiter werden in anderen Ländern hergestellt.Deutschland braucht diese Halbleiter für alle möglichen Sachen.Das bedeutet:Deutschland muss die Halbleiter aus den anderen Ländern kaufen.In schwerer Sprache heißt das:Deutschland ist abhängig von den anderen Ländern.

Es ist besser,wenn Deutschland auch selbst Halbleiter herstellen kann.Deshalb bekommen die Halbleiter-Firmen jetzt viele Förder-Gelder.

Die Förder-Gelder sind besonders gut für Ost-Deutschland

In Deutschland gibt es viele Firmen:    • Für Halbleiter,    • für Batterien    • und für Solar-Anlagen.Davon sind 13 Firmen in den Bundes-Ländern:    • Thüringen.      Dort gibt es viele Firmen zwischen den Städten Jena und Erfurt.    • Und Sachsen.      Dort wird zum Beispiel bei der Stadt Dresden      ein großes Werk von der Firma TSMC gebaut.Es gibt also besonders viele Halbleiter-Firmen in Ost-Deutschland.Das bedeutet:Ost-Deutschland bekommt jetzt besonders viele Förder-Gelder."
7,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-fussball-bundesliga-frauen-rb-leipzig-fc-koeln-100.html,Die Frauen-Mannschaft von RB Leipzig hat ein Fußball-Spiel verloren,"Leipzig ist eine Stadt im Bundes-Land Sachsen.Dort gibt es den Fußball-Verein RB Leipzig.Bei RB Leipzig gibt es eine Männer-Mannschaft.Und es gibt eine Frauen-Mannschaft.Und die Frauen-Mannschaft hatte am Sonntag ein Fußball-Spiel:Gegen die Frauen-Mannschaft vom Fußball-Verein: 1. FC Köln.

    • Marleen Schimmer    • und Sharon Becksind 2 Fußball-Spielerinnen beim 1. FC Köln.Sie haben bei dem Fußball-Spiel beide 1 Tor geschossen.Sandra Starke spielt bei RB Leipzig.Sie hat auch ein Tor für ihren Fußball-Verein geschossen.Aber am Ende hat RB Leipzig verloren:Weil die Fußball-Spielerinnen keine Tore mehr geschossen haben.

Die beiden Fußball-Vereinespielen in der 1. Bundes-Liga für Frauen.RB Leipzig ist jetzt auf dem 8. Platz in der Tabellen-Liste.Und weil der 1. FC Köln das Fußball-Spiel am Sonntag gewonnen hat:Ist er jetzt auf dem 5. Platz in der Tabellen-Liste."
8,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-zoo-leipzig-taufe-elefantenbaby-savani-100.html,Das jüngste Elefanten-Baby im Leipziger Zoo hat jetzt auch einen Namen,"Im Leipziger Zoo sind in diesem Jahr 4 Elefanten-Babys geboren.     • Akito      Er ist 10 Monate alt.     • Bao Ngoc      Er ist 7 Monate alt.    • Zay       Sie ist 4 Monate alt.Und vor 6 Wochen wurde noch ein Elefanten-Baby geboren. Jetzt hat es seinen Namen bekommen. Der Leipziger Zoo hat der Presse gesagt: Wir haben dem Elefanten-Baby den Namen Savani gegeben. Es ist ein Elefanten-Mädchen.

Die Besucher vom Leipziger Zoo durften mit-entscheiden. 15 Tausend Besucher haben den Namen Savani gewählt. Der Name kommt aus dem Erdteil Asien. Er bedeutet: Frühe Morgen."
9,https://www.mdr.de/nachrichten-leicht/leichte-sprache-sachsen-kultur-news-koenigstein-kunstsammlung-donath-schenkung-100.html,Die Festung Königstein bekommt eine Kunst-Sammlung,"Die Festung Königstein ist eine Burg in Sachsen.Besucher können sich dort viele Dinge ansehen.Und sie können bei verschiedenen Veranstaltungen mit-machen.Am Mittwoch hat die Festung Königstein eine Kunst-Sammlung geschenkt bekommen.Sie kommt von Wolfgang Donat.Er ist ein Kunst-Sammler aus der Stadt Dresden.

André Thieme ist der Chef von der Festung Königstein.Er hat gesagt:Es ist ein großes Glück,dass wir die Kunst-Sammlung bekommen haben.Und es ist ein wertvoller Schatz.Dabei sind 500 verschiedene Dinge.Zum Beispiel:    • Wertvolles Porzellan,    • alte Urnen,    • besondere Möbel,    • alte Skulpturen    • und Bilder von Sachsen.Auf den Bildern sind verschiedene Ortein Sachsen zu sehen.Die Bilder sind schon mehr als 100 Jahre alt.

Wolfgang Donat wollte:    • Dass seine Kunst-Sammlung an einen guten Ort kommt.    • Und dass Besucher die Kunst-Sammlung ansehen können.Deshalb soll es im nächsten Jahr eine Ausstellung geben.Dann wird in der Festung Königsteinein Teil von der Kunst-Sammlung gezeigt."
