,URL,title,text_leicht
1,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-03082023,nils3488.html",Niedersachsen: Autobahn 7 gesperrt,Am Donnerstag hat die Polizei einen Teil von der A7 gesperrt.A7 ist die Abkürzung für Autobahn 7.Dieser Teil ist in der Nähe von Salzgitter.Salzgitter ist eine Stadt südlich von Braunschweig.Die Polizei hat gesagt:Auf der A7 war ein Unfall.Bei dem Unfall wurde kein Mensch verletzt.Aber bei dem Unfall ist ein Lkw umgekippt.Jetzt liegt der Lkw auf der A7.Und er blockiert alle Fahr·spuren in Richtung Norden.Deshalb haben wir den Teil von der A7 gesperrt.Und deshalb ist ein langer Stau.Die Polizei hat auch gesagt:Jetzt müssen Fach·leute den Lkw von der A7 holen.Das dauert noch einige Stunden.Deshalb bleibt der Teil von der A7 wahrscheinlich noch einige Stunden gesperrt.Noch weiß kein Mensch:Warum ist der Lkw umgekippt?
2,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-03082023,nils3488.html",Niedersachsen: Mann stirbt bei Unfall,Am Donnerstag·morgen war ein Unfall.Der Unfall war in Samern.Samern ist ein Ort im Süd·westen von Niedersachsen.Bei dem Unfall ist ein Mann gestorben.Die Polizei hat gesagt:Der Mann ist mit seinem Auto in eine Kurve gefahren.Dann ist er auf die Gegen·fahr·bahn gekommen.Auf der Gegen·fahr·bahn ist eine Frau mit ihrem Auto gefahren.Die 2 Autos sind zusammengestoßen.Der Mann ist gestorben.Und die Frau wurde schwer verletzt.Noch weiß kein Mensch:Warum ist der Mann auf die Gegen·fahr·bahn gekommen?
3,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-02082023,nils3486.html",Nord·deutschland: Probleme bei der Ernte,Viele Bauern in Nord·deutschland haben Probleme.Im Moment regnet es nämlich sehr viel.Deshalb ist das Getreide sehr nass.Die Bauern haben gesagt:Wir müssen das Getreide nach der Ernte trocknen.Das kostet viel Geld.Deshalb müssen wir jetzt warten.Das Wetter ist wieder besser?Dann können wir wieder Getreide ernten.Und die Bauern haben auch gesagt:In diesem Sommer war das Wetter für lange Zeit sehr trocken.Und jetzt ist das Wetter sehr nass.Das ist nicht gut für viele Pflanzen.Zum Beispiel:• Weizen.• Bohnen.• Oder Erbsen.Deshalb können wir wahrscheinlich weniger von diesen Pflanzen ernten.
4,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-02082023,nils3486.html",Niedersachsen: 4 Kinder bei Unfall verletzt,In Hannover war am Dienstag·abend ein Unfall.Dieser Unfall war auf der B6.B6 ist die Abkürzung für Bundes·straße 6.Bei dem Unfall wurden 5 Menschen verletzt.4 von den 5 Menschen sind Kinder.Die Polizei hat gesagt:Eine Frau ist mit den 4 Kindern im Auto gefahren.Die Straße war nass vom Regen.Deshalb war die Straße rutschig.Und deshalb ist das Auto von der Straße abgekommen.Das Auto ist gegen einen Baum gefahren.Ein Junge wurde im Auto eingeklemmt.Die Feuerwehr hat den Jungen aus dem Auto befreit.Der Junge ist in Lebensgefahr.Das heißt:Der Junge ist schwer verletzt.Und niemand weiß:Überlebt der Junge?Die Frau und ein Mädchen wurden leicht verletzt.Und 2 Kinder wurden schwer verletzt.Nach dem Unfall war die Straße für 3 Stunden gesperrt.
5,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-01082023,nils3484.html",Schleswig-Holstein: Großes Feuer ,In der Nähe von Brunstorf war ein großes Feuer.Brunstorf ist ein Ort westlich von Hamburg.Das Feuer war in einem Silo.Ein Silo ist ein großes Lager für bestimmte Dinge.Zum Beispiel für Getreide.Die Feuerwehr hat gesagt:Das Feuer war seit Montag·mittag.Das Löschen war sehr schwierig.Das Silo ist nämlich ein sehr hoher Turm.Unsere Leitern waren nicht groß genug.Deshalb mussten wir auf ein besonderes Feuerwehr·auto warten.Dieses Feuerwehr·auto hat eine sehr große Leiter.Wir haben das Feuer am Dienstag·mittag gelöscht.Aber die Feuerwehr ist immer noch im Einsatz.Die Feuerwehr hat gesagt:Wir können nicht in das Silo reingucken.Vielleicht sind in dem Silo noch Glut·nester.Glut·nester sind kleine Flächen mit versteckten Feuern.Aus Glut·nestern können wieder große Feuer entstehen.Deshalb müssen wir das Silo noch beobachten.
6,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-01082023,nils3484.html",Niedersachsen: Lkw verliert Ladung,In Linsburg war in der Nacht ein Unfall.Linsburg ist ein Ort in der Nähe von Nienburg.Bei dem Unfall ist ein Lkw umgekippt.Der Lkw hat 11.000 Liter Milch geladen.Die Polizei hat gesagt:Der Lkw ist von der Straße abgekommen.Und dann ist der Lkw umgekippt.Dabei wurde der Lkw beschädigt.Deshalb ist die Milch ausgelaufen.Neben der Straße ist ein Acker.Die Milch ist auf den Acker gelaufen.Der Fahrer von dem Lkw wurde nicht verletzt.
7,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-31072023,nils3482.html",Hamburg: Junge auf Dom überfallen,In Hamburg war ein Überfall.Der Überfall war auf dem Dom.Der Dom ist ein großes Volks·fest.Dieser Überfall war auf einen Jungen.Der Junge ist 16 Jahre alt.Der Überfall war von 12 Tätern.Die Täter sind Jugendliche.Sie haben zu dem Jungen gesagt:Gib uns deine Jacke.Und gib uns dein Geld.Sonst schlagen wir dich.Nach dem Überfall sind die Täter geflohen.Die Polizei hat die Täter am U-Bahn·hof Feldstraße festgenommen.Der U-Bahn·hof Feldstraße ist in der Nähe vom Dom.
8,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-31072023,nils3482.html",Niedersachsen: Polizei stoppt Falsch·fahrer ,Auf der Auto·bahn 28 war ein Polizei·einsatz.Der Polizei·einsatz war in Ganderkesee.Ganderkesee ist eine Gemeinde.Und Ganderkesee ist in der Nähe von Oldenburg.Ein Mann ist auf der Auto·bahn in die falsche Richtung gefahren.Das ist sehr gefährlich.Ein Auto·fahrer fährt in die andere Richtung?Dann kann es einen schweren Unfall geben.Deshalb hat die Polizei den Mann gestoppt.Der Mann ist 94 Jahre alt.Die Polizei hat zu dem Mann gesagt:Sie müssen Ihre Auto·schlüssel sofort abgeben.Und Sie müssen mit der Bahn weiterfahren.Die Polizei ermittelt jetzt gegen den Mann.Vielleicht bekommt der Mann eine Strafe.
9,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-28072023,nils3480.html",Hamburg: S-Bahn-Strecke gesperrt,In Hamburg sind besondere Bauarbeiten.In einem Tunnel werden nämlich neue Gleise gebaut.Deshalb wird der Tunnel gesperrt.Der Name von dem Tunnel ist City·tunnel.Er ist zwischen dem Hauptbahnhof und Altona.Die Sperrung dauert 5 Wochen.In der Zeit fahren durch den Tunnel keine S-Bahnen.Alle S-Bahnen werden nämlich über die Station Dammtor umgeleitet.Die Menschen können aber auch mit der U-Bahn fahren.Oder mit dem Bus.
10,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-28072023,nils3480.html",Hamburg: Pride-Woche beginnt,In Hamburg beginnt am Sonnabend eine besondere Woche.Diese Woche heißt Pride-Woche.Pride ist englisch.Pride bedeutet Stolz.In dieser Woche feiern viele Menschen die Vielfalt in der Gesellschaft.Das bedeutet:Alle Menschen sind verschieden.Aber alle Menschen haben die gleichen Rechte.Und kein Mensch darf benachteiligt werden.Bei der Pride-Woche sind auch Demonstrationen.Viele Menschen sagen:Alle Menschen haben noch nicht die gleichen Rechte.Deshalb demonstrieren wir.In der Pride-Woche hängt am Hamburger Rathaus eine Regenbogen-Flagge.Die Regenbogen-Flagge zeigt: Hamburg ist für Vielfalt in der Gesellschaft.
