,URL,title,text_leicht,source,token,sents,text_leicht_sents,text_normal
0,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-01022019,nils1486.html",NDR gewinnt 4 Preise,Der NDR hat 4 besondere Preise gewonnen.Diese Preise heißen: Deutscher Fernseh·preis.Der Deutsche Fernseh·preis ist für sehr gute Fernseh·sendungen.Für diese 4 Fernseh·sendungen hat der NDR den Deutschen Fernseh·preis gewonnen:• Inas Nacht.• Der Tatortreiniger.• Kroymann.• Und Die Freibadclique.Den Deutschen Fernseh·preis gibt es jedes Jahr.Hamburg: Mann stirbt bei UnfallIn Hamburg war ein schlimmer Unfall.Der Unfall war im Stadt·teil Hammer·brook.Bei dem Unfall wurden 2 Menschen schwer verletzt.• Eine Frau.• Und ein Mann.Der Mann ist an den Verletzungen gestorben.Die Polizei hat gesagt:Die 2 Menschen sind über eine Straße gelaufen.Dann ist ein Auto gekommen.Dieses Auto hat die 2 Menschen angefahren.Die Polizei hat auch gesagt:Andere Menschen haben den Unfall gesehen.Diese Menschen haben gesagt:Die 2 Menschen sind an einer Ampel über die Straße gegangen.Diese Ampel war aber rot.Deshalb durften die 2 Menschen nicht über die Straße gehen.,ndr,168.0,22.0,"[Der NDR hat 4 besondere Preise gewonnen., Diese Preise heißen: Deutscher Fernseh·preis., Der Deutsche Fernseh·preis ist für sehr gute Fernseh·sendungen., Für diese 4 Fernseh·sendungen hat der NDR den Deutschen Fernseh·preis gewonnen:• Inas Nacht.•, Der Tatortreiniger.• Kroymann.•, Und Die Freibadclique., Den Deutschen Fernseh·preis gibt es jedes Jahr., Hamburg: Mann stirbt bei UnfallIn Hamburg war ein schlimmer Unfall., Der Unfall war im Stadt·teil Hammer·brook., Bei dem Unfall wurden 2 Menschen schwer verletzt.•, Eine Frau.• Und ein Mann., Der Mann ist an den Verletzungen gestorben., Die Polizei hat gesagt:, Die 2 Menschen sind über eine Straße gelaufen., Dann ist ein Auto gekommen., Dieses Auto hat die 2 Menschen angefahren., Die Polizei hat auch gesagt:, Andere Menschen haben den Unfall gesehen., Diese Menschen haben gesagt:, Die 2 Menschen sind an einer Ampel über die Straße gegangen., Diese Ampel war aber rot., Deshalb durften die 2 Menschen nicht über die Straße gehen.]","Der NDR hat bei der Verleihung des Deutschen Fernsehpreises vier Auszeichnungen erhalten. Die Gewinner sind die Sendungen ""Inas Nacht"", ""Der Tatortreiniger"", ""Kroymann"" und ""Die Freibadclique"". Der Deutsche Fernsehpreis wird jährlich vergeben und zeichnet herausragende Fernsehproduktionen aus.

In Hamburg hat sich ein tragischer Unfall ereignet. Der Unfall fand im Stadtteil Hammerbrook statt und führte zu schweren Verletzungen von zwei Personen, einer Frau und einem Mann. Leider ist der Mann seinen Verletzungen erlegen. Die Polizei hat mitgeteilt, dass die beiden über die Straße gelaufen sind, als ein Auto sie erfasste. Zeugen des Unfalls haben berichtet, dass die beiden bei roter Ampel die Straße überquert haben."
1,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-01022022,nils2826.html",Dänemark: Fast keine Corona-Regeln mehr,Dänemark hat sehr viele Corona-Fälle.Aber trotzdem gelten seit Dienstag fast keine Corona-Regeln mehr.Die Regierung hat nämlich gesagt:Die Corona-Regeln schränken die Menschen sehr in ihrer Freiheit ein.Jetzt wollen wir den Menschen ihre Freiheit zurückgeben.Deshalb müssen die Menschen zum Beispiel keine Maske mehr tragen.Und keinen Abstand mehr halten.Die Menschen müssen zum Beispiel auch nicht nachweisen:• Ich bin geimpft.• Ich bin getestet.• Oder ich bin genesen.Diese Nachweise brauchen die Menschen nur noch bei der Einreise nach Dänemark.Die Regierung hat auch gesagt:In Dänemark stecken sich viele Menschen mit dem Corona-Virus an.Aber viele Menschen sind geimpft.Und die meisten Menschen stecken sich mit einer neuen Art vom Corona-Virus an.Diese neue Art heißt Omikron.Omikron ist ansteckender als andere Arten vom Corona-Virus.Aber Omikron macht die meisten Menschen nicht so schlimm krank.Deshalb sind nicht so viele Menschen im Kranken·haus.Und deshalb werden die Kranken·häuser nicht überlastet.,ndr,171.0,20.0,"[Dänemark hat sehr viele Corona-Fälle., Aber trotzdem gelten seit Dienstag fast keine Corona-Regeln mehr., Die Regierung hat nämlich gesagt:, Die Corona-Regeln schränken die Menschen sehr in ihrer Freiheit ein., Jetzt wollen wir den Menschen ihre Freiheit zurückgeben., Deshalb müssen die Menschen zum Beispiel keine Maske mehr tragen., Und keinen Abstand mehr halten., Die Menschen müssen zum Beispiel auch nicht nachweisen:• Ich bin geimpft.•, Ich bin getestet.•, Oder ich bin genesen., Diese Nachweise brauchen die Menschen nur noch bei der Einreise nach Dänemark., Die Regierung hat auch gesagt:, In Dänemark stecken sich viele Menschen mit dem Corona-Virus an., Aber viele Menschen sind geimpft., Und die meisten Menschen stecken sich mit einer neuen Art vom Corona-Virus an., Diese neue Art heißt Omikron., Omikron ist ansteckender als andere Arten vom Corona-Virus., Aber Omikron macht die meisten Menschen nicht so schlimm krank., Deshalb sind nicht so viele Menschen im Kranken·haus., Und deshalb werden die Kranken·häuser nicht überlastet.]","In Dänemark gibt es eine hohe Anzahl von Corona-Fällen. Dennoch gelten seit Dienstag fast keine Corona-Regeln mehr. Die Regierung argumentiert, dass die Corona-Maßnahmen die Freiheit der Menschen stark einschränken. Daher möchte man den Menschen ihre Freiheit zurückgeben. Folglich sind Masken nicht mehr erforderlich und der Mindestabstand muss nicht mehr eingehalten werden. Die Menschen müssen auch nicht mehr nachweisen, dass sie geimpft, getestet oder genesen sind. Diese Nachweise werden nur noch bei der Einreise nach Dänemark benötigt. Die Regierung gibt außerdem an, dass sich in Dänemark viele Menschen mit dem Omikron-Virus infizieren. Jedoch sind viele Menschen geimpft und die meisten Infizierten haben milde Symptome. Obwohl Omikron ansteckender ist als andere Varianten des Corona-Virus, führt es nicht zu so schweren Krankheitsverläufen. Dadurch werden die Krankenhäuser nicht so stark belastet."
2,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-01022023,nils3242.html",Hamburg: Feuer in Wohn·haus,In Hamburg war ein Feuer.Dieses Feuer war in einem Wohn·haus im Stadt·teil Eimsbüttel.Die Feuerwehr hat gesagt:Das Feuer war in einer Wohnung im Erd·geschoss.In dieser Wohnung hat ein Mann gelebt.Diesen Mann haben wir in der Wohnung gefunden.Er war tot.Aber wir wissen nicht:Ist der Mann durch das Feuer gestorben?Oder war der Mann schon tot?Die Feuerwehr hat auch gesagt:Wir mussten einen anderen Mann aus seiner Wohnung retten.Diese Wohnung ist im Ober·geschoss von dem Wohn·haus.Dieser Mann ist in ein Kranken·haus gekommen.Er hat nämlich vielleicht eine Rauch·vergiftung.Bei einer Rauch·vergiftung atmet ein Mensch zu viel Rauch ein.Deshalb muss er zum Beispiel husten.Oder er bekommt starke Kopf·schmerzen.Nach einer Stunde hat die Feuerwehr das Feuer gelöscht.Jetzt ermittelt die Polizei.Die Polizei will nämlich wissen:Wie ist der Mann gestorben?Und wie ist das Feuer ausgebrochen?Zeugen haben gesagt:Es hat einen lauten Knall gegeben.Dann ist das Feuer ausgebrochen.,ndr,186.0,25.0,"[In Hamburg war ein Feuer., Dieses Feuer war in einem Wohn·haus im Stadt·teil Eimsbüttel., Die Feuerwehr hat gesagt:, Das Feuer war in einer Wohnung im Erd·geschoss., In dieser Wohnung hat ein Mann gelebt., Diesen Mann haben wir in der Wohnung gefunden., Er war tot., Aber wir wissen nicht:Ist der Mann durch das Feuer gestorben?, Oder war der Mann schon tot?, Die Feuerwehr hat auch gesagt:, Wir mussten einen anderen Mann aus seiner Wohnung retten., Diese Wohnung ist im Ober·geschoss von dem Wohn·haus., Dieser Mann ist in ein Kranken·haus gekommen., Er hat nämlich vielleicht eine Rauch·vergiftung., Bei einer Rauch·vergiftung atmet ein Mensch zu viel Rauch ein., Deshalb muss er zum Beispiel husten., Oder er bekommt starke Kopf·schmerzen., Nach einer Stunde hat die Feuerwehr das Feuer gelöscht., Jetzt ermittelt die Polizei., Die Polizei will nämlich wissen:, Wie ist der Mann gestorben?, Und wie ist das Feuer ausgebrochen?, Zeugen haben gesagt:, Es hat einen lauten Knall gegeben., Dann ist das Feuer ausgebrochen.]","In Hamburg hat es in einem Wohnhaus im Stadtteil Eimsbüttel gebrannt. Die Feuerwehr hat mitgeteilt, dass das Feuer in einer Wohnung im Erdgeschoss ausgebrochen ist, in der ein Mann lebte. Leider wurde dieser Mann tot in der Wohnung gefunden, aber es ist noch unklar, ob er durch das Feuer ums Leben gekommen ist oder schon vorher tot war. Die Feuerwehr musste einen anderen Mann aus seiner Wohnung im Obergeschoss retten, da er möglicherweise eine Rauchvergiftung erlitten hatte. Dabei atmete er zu viel Rauch ein und hatte Symptome wie Husten und starke Kopfschmerzen. Eine Stunde später konnte die Feuerwehr den Brand löschen. Die Polizei ermittelt nun, um herauszufinden, wie der Mann ums Leben gekommen ist und wie das Feuer ausgebrochen ist. Zeugen berichten von einem lauten Knall, der den Brand ausgelöst hat."
3,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-01032019,nils1528.html","

",Sie wollen zurück zu den Nord·deutschen Nachrichten in Leichter Sprache?Dann klicken Sie hier.,ndr,16.0,2.0,"[Sie wollen zurück zu den Nord·deutschen Nachrichten in Leichter Sprache?, Dann klicken Sie hier.]",Möchten Sie wieder zu den Norddeutschen Nachrichten in einfacher Sprache zurückkehren? Dann klicken Sie hier.
4,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-01032021,nils2522.html",Hamburg: Strafen für Menschen ohne Maske,In Hamburg gibt es seit Sonnabend eine neue Masken·pflicht.Diese Masken·pflicht ist draußen an bestimmten Orten.An diesen Orten sind oft besonders viele Menschen.Zum Beispiel:• Auf Spiel·plätzen.• An der Alster.Die Alster ist ein Fluss in Hamburg.• An der Elbe.Die Elbe ist ein Fluss in Hamburg.• Und im Stadt·park.Am vergangenen Wochenende hat die Polizei kontrolliert:Tragen die Menschen an diesen Orten eine Maske?Die Polizei hat gesagt:Einige Menschen haben keine Maske getragen.Deshalb müssen diese Menschen eine Strafe zahlen.Insgesamt müssen 330 Menschen eine Strafe zahlen.,ndr,102.0,16.0,"[In Hamburg gibt es seit Sonnabend eine neue Masken·pflicht., Diese Masken·pflicht ist draußen an bestimmten Orten., An diesen Orten sind oft besonders viele Menschen., Zum Beispiel:•, Auf Spiel·plätzen.•, An der Alster., Die Alster ist ein Fluss in Hamburg.•, An der Elbe., Die Elbe ist ein Fluss in Hamburg.•, Und im Stadt·park., Am vergangenen Wochenende hat die Polizei kontrolliert:, Tragen die Menschen an diesen Orten eine Maske?, Die Polizei hat gesagt:, Einige Menschen haben keine Maske getragen., Deshalb müssen diese Menschen eine Strafe zahlen., Insgesamt müssen 330 Menschen eine Strafe zahlen.]","Seit Sonntag gilt in Hamburg eine neue Maskenpflicht an bestimmten öffentlichen Orten im Freien, an denen sich viele Menschen aufhalten. Dazu gehören zum Beispiel Spielplätze, die Alster und die Elbe sowie der Stadtpark. Am vergangenen Wochenende hat die Polizei überprüft, ob die Menschen an diesen Orten eine Maske tragen. Dabei stellte sie fest, dass einige Menschen keine Maske trugen und deshalb eine Strafe zahlen müssen. Insgesamt wurden 330 Menschen wegen Verstoßes gegen die Maskenpflicht bestraft."
5,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-01032022,nils2858.html",Schleswig-Holstein: Bus·fahrer streiken,In Schleswig-Holstein ist ein Streik.Bei einem Streik arbeiten Menschen nicht.Diese Menschen sind zum Beispiel mit ihrer Arbeit nicht zufrieden.Sie wollen zum Beispiel mehr Geld.Dieser Streik ist von Bus·fahrern.Und dieser Streik ist in 4 Städten in Schleswig-Holstein:• In Kiel.• In Lübeck.• In Flensburg.• Und in Neumünster.In diesen 4 Städten sind viele Busse ausgefallen.Der Streik ist schon seit Montag.Und der Streik ist bis heute Abend.,ndr,80.0,13.0,"[In Schleswig-Holstein ist ein Streik., Bei einem Streik arbeiten Menschen nicht., Diese Menschen sind zum Beispiel mit ihrer Arbeit nicht zufrieden., Sie wollen zum Beispiel mehr Geld., Dieser Streik ist von Bus·fahrern., Und dieser Streik ist in 4 Städten in Schleswig-Holstein:•, In Kiel.•, In Lübeck.•, In Flensburg.•, Und in Neumünster., In diesen 4 Städten sind viele Busse ausgefallen., Der Streik ist schon seit Montag., Und der Streik ist bis heute Abend.]","In Schleswig-Holstein, there is a strike going on. During a strike, people do not work. These people, for example, are not satisfied with their work. They want, for example, more money. This strike is being carried out by bus drivers. And this strike is taking place in 4 cities in Schleswig-Holstein: • In Kiel. • In Lübeck. • In Flensburg. • And in Neumünster. In these 4 cities, many buses have been canceled. The strike has been going on since Monday. And the strike will continue until this evening."
6,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-01032023,nils3284.html",Niedersachsen: Feuer zerstört Tischlerei,In Sedelsberg war ein großes Feuer.Sedelsberg ist ein Ort im Norden von Niedersachsen.Und Sedelsberg ist westlich von Oldenburg.Bei dem Feuer ist eine große Tischlerei abgebrannt.3 Feuerwehr·leute wurden bei den Lösch·arbeiten verletzt.Das Feuer hat einen großen Schaden gemacht.Der Schaden ist mehrere Millionen Euro hoch.Die Polizei weiß noch nicht:Warum war das Feuer in der Tischlerei?,ndr,68.0,9.0,"[In Sedelsberg war ein großes Feuer., Sedelsberg ist ein Ort im Norden von Niedersachsen., Und Sedelsberg ist westlich von Oldenburg., Bei dem Feuer ist eine große Tischlerei abgebrannt.3, Feuerwehr·leute wurden bei den Lösch·arbeiten verletzt., Das Feuer hat einen großen Schaden gemacht., Der Schaden ist mehrere Millionen Euro hoch., Die Polizei weiß noch nicht:, Warum war das Feuer in der Tischlerei?]","In Sedelsberg, a large fire broke out. Sedelsberg is a town in the northern part of Lower Saxony, west of Oldenburg. The fire burned down a large carpentry workshop. Three firefighters were injured while extinguishing the fire. The fire caused extensive damage, estimated to be worth several million euros. The police are still investigating the cause of the fire in the carpentry workshop."
7,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-01042019,nils1570.html",Nord·deutschland: Neue Landes·bischöfin,Die Nord·kirche hat eine neue Chefin.Die Nord·kirche ist eine große evangelische Kirche.Und die Nord·kirche ist in 3 Bundes·ländern:• In Hamburg.• In Schleswig-Holstein.• Und in Mecklenburg-Vorpommern.Die neue Chefin von der Nord·kirche ist Kristina Kühnbaum-Schmidt.Kristina Kühnbaum-Schmidt ist nämlich die neue Landes·bischöfin von der Nord·kirche.Kristina Kühnbaum-Schmidt ist die Nachfolgerin von Gerhard Ulrich.Gerhard Ulrich ist 68 Jahre alt.Und Gerhard Ulrich ist jetzt im Ruhestand.,ndr,75.0,11.0,"[Die Nord·kirche hat eine neue Chefin., Die Nord·kirche ist eine große evangelische Kirche., Und die Nord·kirche ist in 3 Bundes·ländern:•, In Hamburg.•, In Schleswig-Holstein.•, Und in Mecklenburg-Vorpommern., Die neue Chefin von der Nord·kirche ist Kristina Kühnbaum-Schmidt., Kristina Kühnbaum-Schmidt ist nämlich die neue Landes·bischöfin von der Nord·kirche., Kristina Kühnbaum-Schmidt ist die Nachfolgerin von Gerhard Ulrich., Gerhard Ulrich ist 68 Jahre alt., Und Gerhard Ulrich ist jetzt im Ruhestand.]","Die Nordkirche hat eine neue Leiterin. Die Nordkirche ist eine große evangelische Kirche, die in den Bundesländern Hamburg, Schleswig-Holstein und Mecklenburg-Vorpommern vertreten ist. Die neue Leiterin der Nordkirche ist Kristina Kühnbaum-Schmidt, sie ist die neue Landesbischöfin. Sie tritt die Nachfolge von Gerhard Ulrich an, der 68 Jahre alt ist und in den Ruhestand geht."
8,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-01042021,nils2546.html",Steinmeier mit AstraZeneca geimpft,Über einen Impf·stoff gegen das Corona-Virus gibt es Streit.Ein Impf·stoff ist ein besonderes Medikament.Und ein Impf·stoff ist gegen eine bestimmte Krankheit.Bekommt ein Mensch einen Impf·stoff?Dann bekommt dieser Mensch diese Krankheit wahrscheinlich nicht.Dieser Impf·stoff ist von AstraZeneca.AstraZeneca ist eine Firma aus Groß·britannien und Schweden.Nach einer Impfung mit AstraZeneca sind nämlich einige Menschen krank geworden.Aber viele Fach·leute sagen:Eine Impfung mit AstraZeneca ist für fast alle Menschen ungefährlich.Jetzt hat der Bundes·präsident eine Impfung mit AstraZeneca bekommen.Der Bundes·präsident ist ein sehr wichtiger Politiker in Deutschland.Der Bundes·präsident ist Frank-Walter Steinmeier.Frank-Walter Steinmeier hat gesagt:Ich vertraue dem Impf·stoff von AstraZeneca.Der Impf·stoff von AstraZeneca ist sicher.,ndr,129.0,15.0,"[Über einen Impf·stoff gegen das Corona-Virus gibt es Streit., Ein Impf·stoff ist ein besonderes Medikament., Und ein Impf·stoff ist gegen eine bestimmte Krankheit., Bekommt ein Mensch einen Impf·stoff?, Dann bekommt dieser Mensch diese Krankheit wahrscheinlich nicht., Dieser Impf·stoff ist von AstraZeneca., AstraZeneca ist eine Firma aus Groß·britannien und Schweden., Nach einer Impfung mit AstraZeneca sind nämlich einige Menschen krank geworden., Aber viele Fach·leute sagen:Eine Impfung mit AstraZeneca ist für fast alle Menschen ungefährlich., Jetzt hat der Bundes·präsident eine Impfung mit AstraZeneca bekommen., Der Bundes·präsident ist ein sehr wichtiger Politiker in Deutschland., Der Bundes·präsident ist Frank-Walter Steinmeier., Frank-Walter Steinmeier hat gesagt:, Ich vertraue dem Impf·stoff von AstraZeneca., Der Impf·stoff von AstraZeneca ist sicher.]","Es gibt eine Debatte über einen Impfstoff gegen das Coronavirus. Ein Impfstoff ist ein spezielles Medikament, das gegen eine bestimmte Krankheit wirkt. Wenn eine Person einen Impfstoff erhält, besteht eine hohe Wahrscheinlichkeit, dass sie nicht an dieser Krankheit erkrankt. Der Impfstoff stammt von AstraZeneca, einem Unternehmen aus Großbritannien und Schweden. Nach einer Impfung mit AstraZeneca sind einige Menschen erkrankt. Dennoch sagen viele Experten, dass die Impfung mit AstraZeneca für die meisten Menschen unbedenklich ist. Der Bundespräsident, Frank-Walter Steinmeier, hat nun eine Impfung mit AstraZeneca erhalten. Der Bundespräsident ist ein hochrangiger Politiker in Deutschland. Steinmeier hat erklärt, dass er dem AstraZeneca-Impfstoff vertraut und dass dieser sicher ist."
9,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Mehr-Nachrichten-vom-01062021,nils2598.html",Schleswig-Holstein: Musik-Festival fällt aus,Wegen der Corona-Krise fallen viele große Veranstaltungen aus.Auch das Musik-Festival in Wacken.Auf dem Musik·festival in Wacken spielen die Musiker meistens Heavy Metal.Heavy Metal ist eine Musik·richtung.Heavy Metal ist sehr hart.Und Heavy Metal ist laut.Jetzt haben die Veranstalter gesagt:Das Wacken-Festival sollte Ende Juli sein.Aber wegen der Corona-Krise können wir das Festival nicht machen.Wir verschieben das Festival.Jetzt ist das Festival im kommenden Jahr.Und zwar vom 4. bis zum 6. August.Schon im vergangenen Jahr ist das Wacken-Festival ausgefallen.,ndr,100.0,13.0,"[Wegen der Corona-Krise fallen viele große Veranstaltungen aus., Auch das Musik-Festival in Wacken., Auf dem Musik·festival in Wacken spielen die Musiker meistens Heavy Metal., Heavy Metal ist eine Musik·richtung., Heavy Metal ist sehr hart., Und Heavy Metal ist laut., Jetzt haben die Veranstalter gesagt:, Das Wacken-Festival sollte Ende Juli sein., Aber wegen der Corona-Krise können wir das Festival nicht machen., Wir verschieben das Festival., Jetzt ist das Festival im kommenden Jahr., Und zwar vom 4. bis zum 6. August., Schon im vergangenen Jahr ist das Wacken-Festival ausgefallen.]","Aufgrund der Auswirkungen der Corona-Krise müssen viele große Veranstaltungen abgesagt werden, darunter auch das Musik-Festival in Wacken. Bei diesem Festival spielt üblicherweise Heavy Metal, eine besonders harte und laute Musikrichtung. Die Veranstalter haben nun bekannt gegeben, dass das Wacken-Festival, welches eigentlich Ende Juli stattfinden sollte, aufgrund der Corona-Krise nicht durchgeführt werden kann. Es wird daher auf das kommende Jahr verschoben und findet nun vom 4. bis zum 6. August statt. Bereits im letzten Jahr musste das Wacken-Festival ausfallen."
