,Source,link_leicht,URL,sents_leicht,sents_standard
0,P_hamburg,,https://www.hamburg.de/barrierefrei/leichte-sprache/neuigkeiten/17131180/2023-05-06-bvm-neuer-taxentarif-el/,Die Stadt Hamburg hat heute etwas Neues über Taxi-Fahrten gesagt: Die Fahrt mit dem Taxi in Hamburg kostet ab dem 1. Juli mehr Geld. Das ist für die Taxi-Firmen wichtig. Denn: Die Taxi-Firmen müssen mehr für Benzin bezahlen. Die Taxi-Fahrten kosten in Hamburg dann genauso viel wie in anderen Städten.,Neben den Gebührenanpassungen wird ab dem 1. Juli ein preisgünstigerer Zeitkorridor montags bis freitags von 10:00 bis 15:00 Uhr eingeführt.
1,P_hamburg,,https://www.hamburg.de/barrierefrei/leichte-sprache/neuigkeiten/17131180/2023-05-06-bvm-neuer-taxentarif-el/,Zum Beispiel: München Frankfurt,In dieser Zeit liegt der Grundpreis bei 4 statt 6 Euro im neuen Regeltarif.
2,P_hamburg,,https://www.hamburg.de/barrierefrei/leichte-sprache/neuigkeiten/17131180/2023-05-06-bvm-neuer-taxentarif-el/,Köln Stuttgart Leipzig Manchmal kostet die Taxi-Fahrt weniger.,Zudem liegt der Preis für jeden durchfahrenden Kilometer um 10 Cent unter dem Hauptzeitentarif.
3,P_hamburg,,https://www.hamburg.de/barrierefrei/leichte-sprache/neuigkeiten/17131180/2023-05-06-bvm-neuer-taxentarif-el/,Das nennt man: Die Zwischen-Zeiten. Dann sind die Zwischen-Zeiten:,Zusätzlich zu den bisherigen beiden Festpreisen wird ein dritter Festpreis eingefügt.
4,P_hamburg,,https://www.hamburg.de/barrierefrei/leichte-sprache/neuigkeiten/17131180/2023-05-06-bvm-neuer-taxentarif-el/,Montags bis Freitags von 10 Uhr morgens bis 15 Uhr nachmittags Das kostet eine Taxi-Fahrt in den Zwischen-Zeiten: Der Grund-Preis ist dann 4 Euro statt 6 Euro.,"Wünscht der Fahrgast dies, muss die Fahrt zu diesem bei Antritt der Fahrt bereits feststehenden Preis durchgeführt werden."
5,P_hamburg,,https://www.hamburg.de/barrierefrei/leichte-sprache/neuigkeiten/17131180/2023-05-06-bvm-neuer-taxentarif-el/,Der Kilo-Meter-Preis ist 10 Cent weniger als sonst. Die anderen Zeiten nennt man: Haupt-Verkehrs-Zeiten .,Die Festpreise sind im Taxameter hinterlegt und werden dann per Tastendruck aufgerufen.
6,P_hamburg,,https://www.hamburg.de/barrierefrei/leichte-sprache/neuigkeiten/17131180/2023-05-06-bvm-neuer-taxentarif-el/,Das sind die Haupt-Verkehrs-Zeiten:,Folgende Festpreisregelungen gelten dabei ab dem 1. Juli:
7,P_hamburg,,https://www.hamburg.de/barrierefrei/leichte-sprache/neuigkeiten/17131180/2023-05-06-bvm-neuer-taxentarif-el/,Montag bis Freitag Von Mitternacht bis 10 Uhr morgens Von 3 Uhr nachmittags bis Mitternacht. Am Wochen-Ende den ganzen Tag An Feier-tagen den ganzen Tag,"20 Euro für eine Wegstrecke von bis zu 5 Kilometern,"
8,P_hamburg,,https://www.hamburg.de/barrierefrei/leichte-sprache/neuigkeiten/17131180/2023-05-06-bvm-neuer-taxentarif-el/,Das kostet eine Taxi-Fahrt in den Haupt-Verkehrs-Zeiten: Grund-Preis: 6 Euro Preis für jeden Kilo-Meter: 2 Euro 70. Es gibt 3 Fest-Preise,"37 Euro für eine Wegstrecke von mehr als 5, aber nicht mehr als 12 Kilometern,"
9,P_hamburg,,https://www.hamburg.de/barrierefrei/leichte-sprache/neuigkeiten/17131180/2023-05-06-bvm-neuer-taxentarif-el/,Bisher gab es 2 Fest-Preise. Ab Juli gibt es 3 Fest-Preise. Das müssen Sie bezahlen.,"50 Euro für eine Wegstrecke von mehr als 12, aber nicht mehr als 20 Kilometern."
