,Source,link_leicht,URL,sents_leicht,sents_standard
0,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,Wenn Sie einen Hund haben: Dann müssen Sie Hunde-Steuer bezahlen. Es ist Ihre Pflicht: Ihren Hund anzumelden.,"Soweit Sie oder andere Personen in Ihrem Haushalt einen Hund halten, müssen Sie ihn innerhalb von vier Wochen nach der Aufnahme zur Hundesteuer anmelden."
1,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,Das gilt zum Beispiel auch:,
2,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,wenn der Hund einem Verein gehört oder wenn es ein Wach-Hund bei einer Firma ist. Wenn Sie sich einen Hund anschaffen: Dann müssen Sie den Hund innerhalb von 4 Wochen anmelden.,"Wenn der Hund aus dem Wurf einer von Ihnen gehaltenen Hündin stammt, müssen sie ihn innerhalb von vier Wochen, nachdem der Hund sechs Monate alt geworden ist, zur Hundesteuer anmelden."
3,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,Wenn Ihre Hündin schwanger ist und Babys bekommt:,"Die An- und Abmeldepflicht gilt auch für Hunde, die nicht von natürlichen Personen oder nicht aus persönlichen Zwecken gehalten werden."
4,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,Dann dürfen die jungen Hunde 6 Monate alt werden. Nach den 6 Monaten müssen Sie die Hunde innerhalb von 4 Wochen anmelden. Bei der Hunde-Steuer gibt es Ermäßigungen. Das heißt: Sie müssen bei bestimmten Gründen,"Wenn Ihr Hund zu einer meldepflichtigen Rasse nach dem Landeshundegesetz NRW gehört, müssen Sie ihn zusätzlich bei der Überwachung Hundehaltung beim Ordnungsamt anmelden bzw. eine Haltungserlaubnis beantragen."
5,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,weniger Hunde-Steuer oder keine Hunde-Steuer bezahlen. Die Hunde-Steuer kostet für jeden Hund: 156 Euro für ein Jahr.,"Zur Anmeldung können Sie das neue Online-Anmeldeverfahren nutzen. Weitere Infos siehe unten unter ""Online anmelden""."
6,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,Zum Beispiel: Wenn Sie 2 Hunde haben: Dann müssen Sie 2 mal 156 Euro für jedes Jahr bezahlen. Das sind 312 Euro für jedes Jahr.,Benötigt werden
7,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,Sie füllen das Formular zum Anmelden aus.,Anmeldeformular gegebenenfalls Nachweis
8,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,"Das können Sie im Internet tun. Das Formular ist in Alltags-Sprache. Wenn Sie beim Ausfüllen Hilfe brauchen, fragen Sie jemanden danach.",über den aktuellen Bezug von laufender Hilfe zum Lebensunterhalt oder von laufender Grundsicherung im Alter und bei Erwerbsminderung nach dem Zwölften Buch des Sozialgesetzbuches
9,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,Drucken Sie bitte das Formular aus. Dann unterschreiben Sie es. Schicken Sie bitte das Formular mit der Post oder als Fax.,über den aktuellen Bezug von laufender Hilfe zum Lebensunterhalt oder von laufender Grundsicherung im Alter und bei Erwerbsminderung nach dem Zwölften Buch des Sozialgesetzbuches
10,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,An das Steuer-Amt.,
11,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,Wenn sich bei Ihnen etwas ändert: Dann müssen Sie uns das schreiben. Zum Beispiel: wenn Sie umziehen,gegebenenfalls Kopie
12,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,oder wenn Sie noch einen Hund bekommen Wenn Ihr Hund angemeldet ist: Dann schicken wir Ihnen eine Hunde-Marke mit der Post. Die Hunde-Marke muss der Hund,des Schwerbehindertenausweises oder des Feststellungsbescheides des Versorgungsamtes sowie Nachweise über die besondere Ausbildung des Hundes
13,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,draußen gut sichtbar tragen. Wichtig: Sie können Ihren Hund jetzt im Internet anmelden. Wir haben dafür ein neues Internet-Formular.,"des Schwerbehindertenausweises oder des Feststellungsbescheides des Versorgungsamtes sowie Nachweise über die besondere Ausbildung des Hundes Informationen zur Anmeldung Zur Anmeldung verwenden Sie bitte das Online-Verfahren (siehe Punkt ""Online anmelden"") oder das Anmeldeformular im ""Downloadservice""."
14,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,Achtung:,
15,P_koeln,,https://www.stadt-koeln.de/leben-in-koeln/soziales/hund-anmelden,"Sie müssen dann im Internet bezahlen. Wenn Sie das nicht wollen, nutzen Sie unser altes PDF-Formular. Dann müssen Sie das Geld überweisen.",Dieses Formular müssen Sie per Post oder Fax an das Steueramt übersenden.
