,Source,link_leicht,URL,sents_leicht,sents_standard
0,P_manually,,zwischenbericht,Das Ziel der GWW ist:,"Sie leisten sinnvolle Arbeit, entwickeln soziale Kontakte und Kompetenzen. Dabei achten wir immer darauf, Ihren Wünschen an einen Arbeitsplatz, Ihren Fähigkeiten und Neigungen zu entsprechen."
1,P_manually,,zwischenbericht,Alle Menschen sollen gemeinsam leben und arbeiten können. Bei der GWW gibt es angepasste Arbeitsplätze für Menschen mit Behinderung,Bei uns finden Sie angepasste Arbeitsplätze und Vorrichtungen und erhalten Ihre nötige persönliche Unterstützung und Hilfe. Die GWW hilft Ihnen gesellschaftliche Teilhabe und individuelle Selbstbestimmung zu realisieren.
2,P_manually,,zwischenbericht,und Menschen mit einer psychischen Erkrankung.,Wir bieten Ihnen umfassende Qualifizierungs- und Bildungsangebote.
3,P_manually,,zwischenbericht,Die Job-Coaches unterstützen Sie auf Ihrem Weg auf den Arbeitsmarkt.,Unsere Jobcoaches unterstützen Sie auf Ihrem Weg auf den Arbeitsmarkt.
4,P_manually,,zwischenbericht,,Alle Menschen sollen gemeinsam leben und arbeiten können: Das ist unsere Vision.
5,P_manually,,zwischenbericht,Arbeitsangebote,Arbeitsangebote
6,P_manually,,zwischenbericht,Bei der GWW gibt es viele Arbeits-Angebote.,Wir bieten Ihnen eine breite Palette an Tätigkeiten.
7,P_manually,,zwischenbericht,,Bei uns können Sie Ihre Fähigkeiten ausschöpfen und erhalten Anerkennung für Ihre Leistung.
8,P_manually,,zwischenbericht,Sie können,Sie haben die Wahl:
9,P_manually,,zwischenbericht,mit Menschen arbeiten,mit Menschen zu arbeiten
10,P_manually,,zwischenbericht,im Büro arbeiten,im Büro zu arbeiten
11,P_manually,,zwischenbericht,in der Produktion und Montage arbeiten,in der Produktion und Montage zu arbeiten
12,P_manually,,zwischenbericht,mit Holz arbeiten,mit Holz zu arbeiten
13,P_manually,,zwischenbericht,mit Metall arbeiten,mit Metall zu arbeiten
14,P_manually,,zwischenbericht,im Freien arbeiten,im Freien zu arbeiten
15,P_manually,,zwischenbericht,in der Logistik arbeiten,in der Logistik zu arbeiten.
16,P_manually,,zwischenbericht,mit Tieren arbeiten.... und viele andere Tätigkeiten kann man bei der GWW machen.,"Weitere individuelle Lösungen sind möglich, wie z.B. Tätigkeiten mit Tieren..."
17,P_manually,,zwischenbericht,Zusätzliche Tätigkeiten,Zusatztätigkeiten
18,P_manually,,zwischenbericht,"Sie möchten mehr tun, als Ihre tägliche Arbeit bei der GWW? Dann gibt es interessante zusätzliche Tätigkeiten:","Wenn Sie sich über Ihre tägliche Arbeit in der GWW hinaus engagieren möchten, bieten wir Ihnen eine Vielzahl interessanter Zusatztätigkeiten:"
19,P_manually,,zwischenbericht,Regal-Prüfer,Regalprüfer
20,P_manually,,zwischenbericht,Aufzugs-Wärter,Aufzugswärter
21,P_manually,,zwischenbericht,Werkstatt-Rat,Werkstattrat
22,P_manually,,zwischenbericht,Brandschutz-Helfer,Brandschutz-Helfer
23,P_manually,,zwischenbericht,Sicherheits-Beauftragter,Sicherheitsbeauftragter
24,P_manually,,zwischenbericht,Kultur-Vermittler,Kulturvermittler
25,P_manually,,zwischenbericht,Campus Mensch Redaktion,Campus Mensch Redaktion
26,P_manually,,zwischenbericht,Werkstatt-Entgelt,Werkstattentgelt
27,P_manually,,zwischenbericht,Die GWW bezahlt Ihnen mehr Geld als viele andere Werkstätten.,Nach § 219 Sozialgesetzbuch Neuntes Buch (SGB IX) bezahlen wir den Menschen mit Behinderung ein ihrer Leistung angemessenes Arbeitsentgelt und liegen hierbei weit über dem Bundesdurchschnitt.
28,P_manually,,zwischenbericht,Die Beträge für:,Für Ihre Tätigkeit im Reha-Arbeitsbereich der Werkstatt erhalten Sie ein Entgelt auf Basis der mit dem Gesamtwerkstattrat vereinbarten Entgeltvereinbarung. Dieses teilt sich auf in gesetzlich vorgeschriebenes Grundentgelt plus eine Leistungszulage.
29,P_manually,,zwischenbericht,die gesetzliche Kranken-Versicherung die Pflege-Versicherung die Renten-Versicherung,"Sie sind darüber hinaus in der gesetzlichen Krankenversicherung, Pflegeversicherung und Rentenversicherung versichert."
30,P_manually,,zwischenbericht,werden ebenfalls bezahlt.,Es fallen für Sie keine Beiträge an; diese werden komplett übernommen.
31,P_manually,,zwischenbericht,Persönliche Bildung,Persönliche Bildung
32,P_manually,,zwischenbericht,"Die GWW hilft Ihnen dabei, Ihre Fähigkeiten weiter zu entwickeln. Dafür gibt es viele Angebote.","Sie möchten selbstbewusst Ihren Alltag gestalten? Die GWW unterstützt Sie dabei, Ihre Fähigkeiten weiterzuentwickeln und durch ständiges Anwenden zu erhalten."
