,sents_leicht,sents_standard,sim
0,Die Stadt Hamburg hat heute etwas Neues über Taxi-Fahrten gesagt: Die Fahrt mit dem Taxi in Hamburg kostet ab dem 1. Juli mehr Geld. Das ist für die Taxi-Firmen wichtig. Denn: Die Taxi-Firmen müssen mehr für Benzin bezahlen. Die Taxi-Fahrten kosten in Hamburg dann genauso viel wie in anderen Städten.,Neben den Gebührenanpassungen wird ab dem 1. Juli ein preisgünstigerer Zeitkorridor montags bis freitags von 10:00 bis 15:00 Uhr eingeführt.,0.2987022733743624
1,Zum Beispiel: München Frankfurt,In dieser Zeit liegt der Grundpreis bei 4 statt 6 Euro im neuen Regeltarif.,0.058217502446473876
2,Köln Stuttgart Leipzig Manchmal kostet die Taxi-Fahrt weniger.,Zudem liegt der Preis für jeden durchfahrenden Kilometer um 10 Cent unter dem Hauptzeitentarif.,0.46254233748965534
3,Das nennt man: Die Zwischen-Zeiten. Dann sind die Zwischen-Zeiten:,Zusätzlich zu den bisherigen beiden Festpreisen wird ein dritter Festpreis eingefügt.,-0.007895490486624879
4,Montags bis Freitags von 10 Uhr morgens bis 15 Uhr nachmittags Das kostet eine Taxi-Fahrt in den Zwischen-Zeiten: Der Grund-Preis ist dann 4 Euro statt 6 Euro.,"Wünscht der Fahrgast dies, muss die Fahrt zu diesem bei Antritt der Fahrt bereits feststehenden Preis durchgeführt werden.",-0.10056703969673952
5,Der Kilo-Meter-Preis ist 10 Cent weniger als sonst. Die anderen Zeiten nennt man: Haupt-Verkehrs-Zeiten .,Die Festpreise sind im Taxameter hinterlegt und werden dann per Tastendruck aufgerufen.,0.44881634659600084
6,Das sind die Haupt-Verkehrs-Zeiten:,Folgende Festpreisregelungen gelten dabei ab dem 1. Juli:,0.26246879222449715
7,Montag bis Freitag Von Mitternacht bis 10 Uhr morgens Von 3 Uhr nachmittags bis Mitternacht. Am Wochen-Ende den ganzen Tag An Feier-tagen den ganzen Tag,"20 Euro für eine Wegstrecke von bis zu 5 Kilometern,",0.39692652304970266
8,Das kostet eine Taxi-Fahrt in den Haupt-Verkehrs-Zeiten: Grund-Preis: 6 Euro Preis für jeden Kilo-Meter: 2 Euro 70. Es gibt 3 Fest-Preise,"37 Euro für eine Wegstrecke von mehr als 5, aber nicht mehr als 12 Kilometern,",0.30269542731605287
9,Bisher gab es 2 Fest-Preise. Ab Juli gibt es 3 Fest-Preise. Das müssen Sie bezahlen.,"50 Euro für eine Wegstrecke von mehr als 12, aber nicht mehr als 20 Kilometern.",0.4463969942168238
