,sents_leicht,sents_standard,label
2,Köln Stuttgart Leipzig Manchmal kostet die Taxi-Fahrt weniger.,Zudem liegt der Preis für jeden durchfahrenden Kilometer um 10 Cent unter dem Hauptzeitentarif.,1
5,Der Kilo-Meter-Preis ist 10 Cent weniger als sonst. Die anderen Zeiten nennt man: Haupt-Verkehrs-Zeiten .,Die Festpreise sind im Taxameter hinterlegt und werden dann per Tastendruck aufgerufen.,1
7,Montag bis Freitag Von Mitternacht bis 10 Uhr morgens Von 3 Uhr nachmittags bis Mitternacht. Am Wochen-Ende den ganzen Tag An Feier-tagen den ganzen Tag,"20 Euro für eine Wegstrecke von bis zu 5 Kilometern,",1
8,Das kostet eine Taxi-Fahrt in den Haupt-Verkehrs-Zeiten: Grund-Preis: 6 Euro Preis für jeden Kilo-Meter: 2 Euro 70. Es gibt 3 Fest-Preise,"37 Euro für eine Wegstrecke von mehr als 5, aber nicht mehr als 12 Kilometern,",1
9,Bisher gab es 2 Fest-Preise. Ab Juli gibt es 3 Fest-Preise. Das müssen Sie bezahlen.,"50 Euro für eine Wegstrecke von mehr als 12, aber nicht mehr als 20 Kilometern.",1
12,37 Euro für einen Weg von mehr als 5 Kilo-Metern und weniger als 12 Kilo-Metern. 50 Euro für einen Weg von mehr als 12 Kilo-Metern und weniger als 20 Kilo-Metern.,"In anderen Städten wirkt sich eine Wartezeit ab der ersten Sekunde preiserhöhend aus. Dadurch beträgt der Wartegeldanteil in Hamburg lediglich rund 2 Prozent des Fahrpreises, in anderen Städten sind bei Vergleichsfahrten Wartegeldanteile von bis zu 14 Prozent ermittelt worden.",1
13,Info: Ein Computer hat diesen Text in Leichte Sprache übertragen.,"Die Hamburger Regelung führt dazu, dass der Fahrpreis vor Fahrtantritt relativ präzise vorausgesagt werden kann. Die neuen Entgelte im Detail: Tarif 2022 in Euro neuer Tarif 2023 in Euro",1
47,"Am Freitag, 12. Mai, fängt die Bade-Saison in Hamburg an. Das heißt: Man kann wieder in den Bade-Seen von Hamburg baden. Es gibt 13 Bade-Seen in Hamburg. Die Bade-Seen sind bis September geöffnet.",Die Wasserqualität der Hamburger Badegewässer wird während der Badesaison regelmäßig kontrolliert.,1
49,Der Eich-Baum-See ist ein See in Hamburg. In diesem Jahr darf man wieder im Eich-Baum-See baden. Aber man muss aufpassen: Vielleicht gibt es Blau-Algen im Wasser. Dann darf man nicht baden.,Die Bezirksämter entnehmen an den Badestellen alle drei Wochen Wasserproben.,1
50,Hamburg prüft das Wasser Die Stadt Hamburg kontrolliert die Bade-Seen. Das heißt: Die Stadt Hamburg prüft das Wasser. Die Stadt Hamburg nimmt dafür Wasser-Proben.,Diese werden entsprechend der EG-Badegewässerrichtlinie auf die Darmbakterien „Intestinale Enterokokken“ und „Escherichia Coli“ vom Institut für Hygiene und Umwelt untersucht.,1
52,Sie nehmen die Proben an den Bade-Plätzen. Die Proben werden dann im Labor untersucht. Das Labor untersucht: Sind Bakterien im Wasser? Bakterien können Menschen krank machen.,Die Bakterien dienen als Anzeichen für eventuelle gesundheitliche Risiken durch Belastungen im Gewässer.,1
