,sentence_normal,sentence_leicht,score
0,"Auch Änderungen, wie zum Beispiel einen Umzug innerhalb Kölns oder die Übernahme eines weiteren Hundes, müssen Sie anzeigen.","['Wenn sich bei Ihnen etwas ändert: Dann müssen Sie uns das schreiben. Zum Beispiel: wenn Sie umziehen, oder wenn Sie noch einen Hund bekommen.']",[0.6597976684570312]
1,"Benötigt werden Anmeldeformular, gegebenenfalls Nachweis über den aktuellen Bezug von laufender Hilfe zum Lebensunterhalt oder von laufender Grundsicherung im Alter und bei Erwerbsminderung nach dem Zwölften Buch des Sozialgesetzbuches, gegebenenfalls Kopie des Schwerbehindertenausweises oder des Feststellungsbescheides des Versorgungsamtes sowie Nachweise über die besondere Ausbildung des Hundes.","['Wenn Sie das beantragen wollen: Dann brauchen wir von Ihnen: den Nachweis über Ihre Hilfe zum Lebens-Unterhalt, den Nachweis über Ihre Grund-sicherung im Alter, und bei Erwerbs-Minderung nach dem 2. Buch vom Sozial-Gesetz-Buch.']",[0.7334089875221252]
2,"Bitte beachten Sie auch die erforderliche Anmeldung des Hundes beim zuständigen Bezirksordnungsamt, sofern es sich um einen meldepflichtigen Hund nach dem Landeshundegesetz handelt.","['Es ist Ihre Pflicht: Ihren Hund anzumelden.', 'Wichtig: Sie können Ihren Hund jetzt im Internet anmelden.', 'Im Landes-Hunde-Gesetz steht: welche Hunde Sie auch beim Ordnungs-Amt anmelden müssen.', 'Wenn Sie einen solchen Hund oder ein solches Hunde-Baby haben: Dann müssen Sie diese anmelden.', 'Der Rettungs-Hund muss dafür regelmäßig im Einsatz sein. Nein.', 'Die Rassen stehen im Landes-Hunde-Gesetz.', 'Mehr Infos bekommen Sie beim Ordnungs-Amt bei der Überwachung Hunde-Haltung.']","[0.6983620524406433, 0.5821415185928345, 0.8536959886550903, 0.7051491737365723, 0.43686962127685547, 0.5431348085403442, 0.6254632472991943]"
3,"Die An- und Abmeldepflicht gilt auch für Hunde, die nicht von natürlichen Personen oder nicht aus persönlichen Zwecken gehalten werden.","['Das gilt zum Beispiel auch: wenn der Hund einem Verein gehört, oder wenn es ein Wach-Hund bei einer Firma ist.']",[0.5387983322143555]
4,Die Hundesteuer beträgt 156 Euro jährlich für jeden gehaltenen Hund.,"['Die Hunde-Steuer kostet für jeden Hund: 156 Euro für ein Jahr. Zum Beispiel: Wenn Sie 2 Hunde haben: Dann müssen Sie 2 mal 156 Euro für jedes Jahr bezahlen.', 'Das sind 312 Euro für jedes Jahr.']","[0.8921332359313965, 0.4738064408302307]"
5,Die Steuer wird dann für einen Hund von 156 Euro auf 60 Euro ermäßigt.,"['Die Steuer wird dann für einen Hund von 156 Euro auf 60 Euro verbilligt. Zum Beispiel: Wenn Sie 2 Hunde haben: Dann müssen Sie für die 2 Hunde 216 Euro bezahlen.', 'Nämlich 156 Euro plus 60 Euro.']","[0.9017290472984314, 0.608791708946228]"
6,Dieses Formular müssen Sie per Post oder Fax an das Steueramt übersenden.,"['Drucken Sie bitte das Formular aus.', 'Dann unterschreiben Sie es.', 'Schicken Sie bitte das Formular mit der Post oder als Fax. An das Steuer-Amt.', 'Dann müssen Sie das Geld überweisen.']","[0.45532459020614624, 0.23062936961650848, 0.9206830859184265, 0.4106239676475525]"
7,"Eine Steuerbefreiung wird auf Antrag darüber hinaus auch für Hunde gewährt, die regelmäßig als Rettungshunde eingesetzt werden und eine entsprechende Ausbildung abgelegt haben.","['Der Hund muss eine Ausbildung haben.', 'Wir brauchen auch: Den Nachweis über die Ausbildung und Prüfung vom Hund: als Führ-Hund für Blinde oder Begleit-Hund für Menschen mit anderer Behinderung.', 'Ein Rettungs-Hund kann ebenfalls befreit sein.']","[0.45834535360336304, 0.6766101121902466, 0.5156489610671997]"
8,Gebühren Für die Anmeldung zur Hundesteuer fallen keine Gebühren an.,"['Bei der Hunde-Steuer gibt es Ermäßigungen. Das heißt: Sie müssen bei bestimmten Gründen weniger Hunde-Steuer oder keine Hunde-Steuer bezahlen.', 'Die Befreiung von der Hunde-Steuer können Sie nur für einen Hund bekommen.']","[0.7813950777053833, 0.720394492149353]"
9,"Hierzu ist ein Nachweis beizubringen, der nicht älter als zwei Monate ist.",['Die Nachweise dürfen nicht älter als 2 Monate sein.'],[0.9297225475311279]
10,"Im Falle einer Schwerbehinderung von 100 Prozent kann auf Antrag im Anmeldeformular eine Steuerbefreiung für einen Hund gewährt werden, wenn dieser ausschließlich dem Schutz und der Hilfe der schwerbehinderten Person dient und aufgrund seiner besonderen Ausbildung geeignet ist, die Schwerbehinderung zu mildern.","['Wenn Sie eine Schwer-Behinderung haben: Dann können Sie eine Befreiung beantragen. Befreiung heißt: Sie müssen keine Hunde-Steuer bezahlen.', 'Sie müssen nachweisen: In Ihrem Schwer-Behinderten-Ausweis muss dafür stehen: 100 Prozent Grad der Behinderung, Der Hund darf nur für Sie da sein.', 'Ihr Leben mit Behinderung soll durch den Hund besser werden.']","[0.7087664604187012, 0.7506949305534363, 0.541619062423706]"
11,"Informationen zur Anmeldung Zur Anmeldung verwenden Sie bitte das Online-Verfahren( siehe Punkt "" Online anmelden "") oder das Anmeldeformular im "" Downloadservice "".","['Sie füllen das Formular zum Anmelden aus.', 'Wenn Sie beim Ausfüllen Hilfe brauchen, fragen Sie jemanden danach.', 'Achtung: Sie müssen dann im Internet bezahlen.', 'Wenn Sie das nicht wollen, nutzen Sie unser altes PDF-Formular.', 'Sie können den Antrag: mit der Post schicken. oder im Internet schicken. Ja.']","[0.5351369380950928, 0.4200247526168823, 0.418658584356308, 0.5363730192184448, 0.5680074691772461]"
12,"Nach Anmeldung wird eine Hundemarke übersandt, die der Hund außerhalb der Wohnung oder des umfriedeten Grundbesitzes sichtbar zu tragen hat.","['Wenn Ihr Hund angemeldet ist: Dann schicken wir Ihnen eine Hunde-Marke mit der Post.', 'Die Hunde-Marke muss der Hund draußen gut sichtbar tragen.']","[0.679744303226471, 0.7888060808181763]"
13,Nähere Informationen finden Sie hier: Vorsprache Eine persönliche Vorsprache ist nicht erforderlich.,"['Das Formular ist in Alltags-Sprache.', 'Sie müssen nicht zu uns kommen.']","[0.3209949731826782, 0.4424964487552643]"
14,"Sofern Sie Empfänger*in von laufenden Leistungen zur Sicherung des Lebensunterhaltes nach dem Zweiten Buch des Sozialgesetzbuches( Arbeitslosengeld II) sind, steht Ihnen eine Ermäßigung der Hundesteuer nicht zu.","['Wenn Sie Arbeitslosen-Geld 2 bekommen: Dann bekommen Sie keine Ermäßigung.', 'Das Gesetz zum Arbeitslosen-Geld 2 steht im 2. Buch vom Sozial-Gesetz-Buch.']","[0.6502684354782104, 0.4693533182144165]"
