,URL,Titel,Text_Leicht
1,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Autofrachter-bald-im-Hafen,frachter772.html",Auto·frachter bald im Hafen, Bilder zu dieser Nachricht finden Sie unten auf der Seite. Seit einigen Tagen ist ein besonderer Frachter auf der Nordsee. Ein Frachter ist ein Schiff. Ein Frachter transportiert Waren. Auf dem Frachter war ein großes Feuer. Das Feuer hat den Frachter stark beschädigt. Deshalb war für einige Tage nicht klar: Sinkt der Frachter? Und deshalb haben sich viele Menschen Sorgen gemacht. Aber jetzt brennt der Frachter nicht mehr. Und jetzt bringen Schlepper den Frachter in einen Hafen. Schlepper sind kleine Schiffe. Und Schlepper haben starke Motoren. Deshalb können Schlepper sehr große Schiffe in den Hafen ziehen. Dieser Hafen ist in Eemshaven. Eemshaven ist eine Stadt in den Niederlanden. Und Eemshaven ist an der Nordsee.  Was ist passiert? Vor mehr als einer Woche ist der Frachter in Bremerhaven losgefahren. Bremerhaven ist eine Stadt an der Nordsee. Und Bremerhaven gehört zum Bundes·land Bremen. Er wollte nach Singapur fahren. Singapur ist im Süden von Asien. Und er hat Autos transportiert. Wahrscheinlich ist in einem von den Autos das Feuer ausgebrochen. Dann hat sich das Feuer schnell ausgebreitet. Auf dem Frachter waren 23 Menschen. Einer von diesen Menschen ist bei dem Feuer gestorben. Die anderen Menschen wurden von dem Frachter gerettet. Der Frachter war einige Tage vor Ameland. Ameland ist eine Insel in der Nordsee. Und Ameland gehört zu den Niederlanden. Und das Feuer auf dem Frachter hat einige Tage lang gebrannt. In diesen Tagen haben sich viele Menschen Sorgen gemacht. Die Menschen haben zum Beispiel gesagt: Der Frachter darf nicht sinken. Sinkt der Frachter? Dann gibt es große Umwelt·schäden in der Nordsee.  Zu dem Feuer auf dem Frachter gibt es noch eine Nachricht in Leichter Sprache. Diese Nachricht finden Sie hier.  Auch jetzt machen viele Menschen sich noch Sorgen. Der Frachter kann nämlich immer noch Treib·stoff verlieren. Ein Treib·stoff kann einen Motor antreiben. Zum Beispiel den Motor von einem Auto. Ein Treib·stoff ist zum Beispiel Benzin. Oder Diesel. Deshalb ziehen die Schlepper den Frachter sehr langsam. Und sehr vorsichtig. 
2,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Fachleute-untersuchen-Autofrachter-,frachterimhafen100.html",Fach·leute untersuchen Auto·frachter, Bilder zu dieser Nachricht finden Sie unten auf der Seite. Ein besonderer Frachter ist sicher im Hafen angekommen. Ein Frachter ist ein Schiff. Ein Frachter transportiert Waren. Dieser Hafen ist in Eemshaven. Eemshaven ist eine Stadt in den Niederlanden. Und Eemshaven ist an der Nordsee. Seit einigen Tagen war der Frachter auf der Nordsee. Auf dem Frachter war ein großes Feuer. Deshalb konnte der Frachter nicht mehr fahren. Und deshalb mussten Schlepper den Frachter in den Hafen bringen. Schlepper sind kleine Schiffe. Und Schlepper haben starke Motoren. Deshalb können Schlepper sehr große Schiffe in den Hafen ziehen.  Viele Menschen sind erleichtert Viele Menschen haben sich Sorgen gemacht: Sinkt der Frachter? Dann läuft zum Beispiel viel Öl aus dem Frachter in die Nordsee. Und dann gibt es große Umwelt·schäden. Aber jetzt sind viele Menschen erleichtert. Zum Beispiel Steffi Lemke. Sie ist die Umwelt·ministerin von Deutschland. Eine Ministerin ist eine wichtige Politikerin in der Regierung. Und sie hat gesagt: Der Frachter ist sicher im Hafen. Das ist eine gute Nachricht für alle Menschen an der Nordsee. Jetzt gibt es nämlich keine Umwelt·schäden. Olaf Lies ist der Wirtschafts·minister von Niedersachsen. Er hat gesagt: Der Frachter hat Autos transportiert. Wahrscheinlich ist in einem von den Autos das Feuer ausgebrochen. Jetzt müssen Fach·leute untersuchen: Warum ist das Feuer ausgebrochen? Und ist der Transport von Autos auf Frachtern immer gefährlich? Dann müssen wir etwas ändern.  Millionen·schaden Auf dem Frachter waren 3800 Autos. Fach·leute haben gesagt: Die Autos waren insgesamt 300 Millionen Euro wert. Die Autos sind alle vom Feuer zerstört worden.  Zu dem Feuer auf dem Frachter gibt es noch eine Nachricht in Leichter Sprache. Diese Nachricht finden Sie hier: 
3,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Kein-Mensch-darf-mehr-nach-Wacken,wacken5602.html",Kein Mensch darf mehr nach Wacken, Bilder zu dieser Nachricht finden Sie unten auf der Seite. In Wacken hat heute eine große Veranstaltung begonnen. Wacken ist ein Dorf in Schleswig-Holstein. Diese Veranstaltung ist ein großes Musik·festival. Bei einem Musik·festival sind viele Musik·konzerte. Dieses Musik·festival ist bis zum Sonnabend. 85.000 Menschen haben eine Eintritts·karte. Viele von den Menschen sind schon am Montag und am Dienstag angereist. Aber in den vergangenen Tagen hat es viel geregnet. Deshalb ist es bei dem Musik·festival sehr nass. Und die Böden sind sehr matschig. Deshalb hat der Veranstalter gestern gesagt: Kein Mensch darf mehr mit dem Auto nach Wacken fahren. Heute hat der Veranstalter gesagt: 50.000 Menschen sind schon in Wacken. Für mehr Menschen ist es in Wacken zu gefährlich. Deshalb darf kein Mensch mehr nach Wacken kommen. Die Menschen dürfen nicht mit dem Auto kommen. Und auch nicht mit dem Zug. Und auch nicht zu Fuß. Der Veranstalter hat auch gesagt: Viele Menschen können jetzt nicht nach Wacken kommen. Deshalb sind wir sehr traurig. Aber diese Menschen bekommen das Geld für die Eintritts·karte zurück. Und diese Menschen können die Musik·konzerte im Internet angucken.  Konzerte finden wahrscheinlich statt Bei dem Musik·festival spielen über 200 Musik·gruppen. Auch sehr bekannte Musik·gruppen. Zum Beispiel Iron Maiden. Die Musiker in Wacken spielen meistens Heavy Metal. Heavy Metal ist eine Musik·richtung. Heavy Metal ist sehr hart. Und Heavy Metal ist laut. Der Veranstalter hat gesagt: Wir hoffen: Alle Musik·gruppen können auftreten. Aber wir werden jeden Tag überprüfen: Ist das Konzert sicher für die Musik·gruppen? Und ist das Konzert sicher für die Besucher? Und dann werden wir entscheiden: Können die Musik·gruppen auftreten? 
4,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Anreise-nach-Wacken-gestoppt,wacken5502.html",Anreise nach Wacken gestoppt, Bilder zu dieser Nachricht finden Sie unten auf der Seite. In Wacken beginnt am Mittwoch eine große Veranstaltung. Wacken ist ein Dorf in Schleswig-Holstein. Diese Veranstaltung ist ein großes Musik·festival. Bei einem Musik·festival sind viele Musik·konzerte. Dieses Musik·festival ist bis zum Sonnabend. Insgesamt kommen 85.000 Besucher zu dem Musik·festival. Viele von den Besuchern sind schon am Montag und am Dienstag angereist. Aber in den vergangenen Tagen hat es viel geregnet. Deshalb sind die Camping·plätze in Wacken zu nass. Auf einem Camping·platz können Menschen schlafen. Zum Beispiel in Zelten. Oder in Wohn·wagen. Und deshalb können die Menschen dort nicht hinfahren. Am Montag·abend hat der Veranstalter von dem Festival gesagt: Kein Mensch darf mehr auf die Camping·plätze fahren. Wir wissen noch nicht: Wann können die Menschen dort hinfahren? Der Veranstalter hat auch gesagt: Sie sind auf dem Weg nach Wacken? Dann fahren Sie bitte nicht weiter.  Lange Staus Viele Menschen waren schon auf dem Weg nach Wacken. Diese Menschen müssen jetzt warten. Und diese Menschen wissen nicht: Wo können wir in den nächsten Tagen schlafen? Die Stadt Hamburg hat gesagt: Die Menschen können auf einem großen Parkplatz in Hamburg schlafen. Dieser Parkplatz ist am Volkspark·stadion. Manche Menschen machen sich jetzt Sorgen. In den nächsten Tagen soll es nämlich auch viel regnen. Die Menschen wissen noch nicht: Kann das Musik·festival dann stattfinden? Der Veranstalter hat gesagt: Wir wollen das Musik·festival nicht absagen. Wir hoffen: Bald können die Menschen auf einige Camping·plätze fahren. Und wir suchen neue Camping·plätze. Und dann kann das Musik·festival stattfinden.  Das Musik·festival in Wacken Bei dem Musik·festival spielen über 200 Musik·gruppen. Auch sehr bekannte Musik·gruppen. Zum Beispiel Iron Maiden. Die Musiker in Wacken spielen meistens Heavy Metal. Heavy Metal ist eine Musik·richtung. Heavy Metal ist sehr hart. Und Heavy Metal ist laut. Der Veranstalter hat gesagt: Wacken ist eines der größten Musik·festivals für Fans von Heavy Metal.
5,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Alexander-Zverev-gewinnt-Tennisturnier-in-Hamburg,tennis1664.html",Alexander Zverev gewinnt Tennis·turnier in Hamburg,  Alexander Zverev hat ein wichtiges Tennis·turnier gewonnen. Alexander Zverev ist ein Tennis·spieler aus Hamburg. Er ist 26 Jahre alt. Dieses Tennis·turnier war in Hamburg. Im End·spiel hat Alexander Zverev gegen Laslo Djere gespielt. Laslo Djere ist ein Tennis·spieler aus Serbien. Serbien ist ein Land im Süd·osten von Europa. Den ersten Satz hat Alexander Zverev mit 7:5 gewonnen. Und den zweiten Satz hat er mit 6:3 gewonnen.  Zverev will beim großen Finale mitmachen Dieses Tennis·turnier war von der ATP. ATP ist Englisch. Und ATP ist eine Abkürzung. ATP bedeutet: Vereinigung von Tennis·spielern. Die ATP veranstaltet viele Turniere in einem Jahr. Die Spieler sammeln bei diesen Turnieren Punkte. Die 8 Spieler mit den meisten Punkten spielen in den ATP Finals. Finals ist Englisch. Und Finals bedeutet Finale. Die ATP Finals sind in Turin. Sie beginnen am 12. November. Alexander Zverev ist auf Platz 9 der besten Tennis·spieler.  Nach dem End·spiel hat Alexander Zverev gesagt: Ich war lange verletzt. Deshalb konnte ich nicht richtig Tennis spielen. Aber in diesem Turnier habe ich gut gespielt. Und ich will in den nächsten Wochen noch besser spielen. Ich will nämlich in die ATP Finals kommen. Und Alexander Zverev hat auch gesagt: Hamburg ist meine Heimat·stadt. Deshalb war es ein besonderer Sieg für mich. Und ich freue mich sehr über den Sieg. 
6,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Trauerfeier-fuer-Heide-Simonis,alkoholverbot286.html",Trauer·feier für Heide Simonis,  In Kiel war heute eine besondere Trauer·feier. Die Trauer·feier war für Heide Simonis. Sie ist vor 2 Wochen gestorben. Sie war 80 Jahre alt. Heide Simonis war eine Politikerin von der SPD. SPD ist die Abkürzung für Sozial·demokratische Partei Deutschlands. Von 1993 bis 2005 war sie die Minister·präsidentin von Schleswig-Holstein. Eine Minister·präsidentin ist die Chefin von einem Bundes·land. Und sie war die erste Minister·präsidentin in Deutschland.  500 Menschen bei Trauer·feier Die Trauer·feier war in der Petrus·kirche in Kiel. Bei der Trauer·feier waren ungefähr 500 Menschen. Auch viele Politiker. Zum Beispiel Boris Pistorius. Boris Pistorius ist der Verteidungs·minister von Deutschland. Ein Verteidigungs·minister ist ein wichtiger Politiker. Er gehört zur Bundes·regierung in Berlin. Er ist der Chef von allen Soldaten in Deutschland. Und Saskia Esken. Saskia Esken ist die Vorsitzende von der SPD in Deutschland. Das heißt: Saskia Esken ist die Chefin von der SPD in Deutschland. Und Daniel Günther. Daniel Günther ist der Minister·präsident von Schleswig-Holstein. Daniel Günther hat gesagt: Heide Simonis war eine wichtige Person in der Politik. Sie war die erste Minister·präsidentin in Deutschland. Sie ist ein Vorbild für viele Frauen in Deutschland. 
7,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Nachrichten-in-Leichter-Sprache,nachrichtenleichtesprache100.html",Nachrichten in Leichter Sprache,  Fach·leute haben einen besonderen Auto·frachter sicher in einen Hafen gebracht. Auf diesem Frachter war ein Feuer. Jetzt untersuchen Fach·leute den Frachter. mehr Seit einigen Tagen ist ein besonderer Frachter auf der Nordsee. Auf diesem Frachter war ein Feuer. Lange war nicht klar: Sinkt der Frachter? Jetzt holen Fach·leute den Frachter aus der Nordsee. mehr In Wacken hat heute ein großes Musik·festival begonnen. Aber in den vergangenen Tagen hat es viel geregnet. Jetzt hat der Veranstalter gesagt: Kein Mensch darf mehr nach Wacken kommen. mehr In Wacken beginnt am Mittwoch ein großes Musik·festival. Viele Menschen sind am Montag und am Dienstag schon angereist. Aber die Camping·plätze sind sehr nass von dem Regen. Deshalb können die Menschen nicht auf die Camping·plätze fahren. mehr Alexander Zverev hat ein wichtiges Tennis·turnier gewonnen. Dieses Tennis·turnier war in Hamburg. mehr In Kiel war heute eine besondere Trauer·feier. Die Trauer·feier war für Heide Simonis. Sie war früher die Minister·präsidentin von Schleswig-Holstein. Und sie ist vor 2 Wochen gestorben. mehr Hier finden Sie alle Nachrichten in Leichter Sprache. Diese Nachrichten sind aus den vergangenen Wochen. mehr Hier finden Sie alle Nachrichten zum Corona-Virus. Diese Nachrichten sind in Leichter Sprache. Und diese Nachrichten sind aus den vergangenen Monaten. mehr Wegen der Corona-Krise benutzen die Menschen viele besondere Wörter. Zum Beispiel: Ausgangs·sperre. Covid-19. Oder Pandemie. Hier erklären wir diese Wörter. mehr Leichte Sprache hat besondere Regeln. Wir wollen Ihnen diese Regeln erklären. mehr Sie verstehen ein Wort nicht? Hier haben wir viele Wörter in Leichter Sprache erklärt. mehr Bis Ende 2017 hat der NDR jede Woche einen Nachrichten·rückblick in Leichter Sprache gemacht. mehr Der NDR macht Nachrichten in Leichter Sprache. Diese Nachrichten sind aus Nord·deutschland. Hier können Sie diese Nachrichten lesen. Und hören. mehr Barrierefreie Angebote ermöglichen Menschen mit Behinderung die Teilhabe am audiovisuellen Angebot des NDR. mehr
8,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Hamburg-plant-ein-besonderes-Verbot,alkoholverbot284.html",Hamburg plant ein besonderes Verbot,  Die Stadt Hamburg plant ein besonderes Verbot. Hamburg will nämlich an bestimmten Plätzen das Trinken von Alkohol verbieten. An diesen Plätzen dürfen Menschen dann keinen Alkohol mehr trinken. Diese Plätze sind in der Nähe vom Haupt·bahnhof. Zum Beispiel: Der Hachmannplatz. Und der Heidi-Kabel-Platz. Im Haupt·bahnhof ist das Trinken von Alkohol schon verboten. Aber auf den Plätzen in der Nähe ist es noch erlaubt. Der Innensenator von Hamburg will das aber ändern. Ein Innensenator ist ein wichtiger Politiker. Der Innen·senator gehört zum Senat von Hamburg. Der Senat ist die Regierung von Hamburg. Und der Senat entscheidet über viele Fragen in Hamburg. Der Innensenator ist Andy Grote. Er hat gesagt: Einige Menschen trinken in der Nähe vom Haupt·bahnhof sehr viel Alkohol. Manche Menschen werden durch den Alkohol aggressiv. Diese Menschen prügeln sich dann zum Beispiel. Deshalb gibt es rund um den Haupt·bahnhof viel Gewalt. Einige Menschen fühlen sich nicht mehr sicher. Und deshalb brauchen wir ein Alkohol·verbot.  Kritik an dem Verbot Einige Menschen finden ein Verbot von Alkohol gut. Andere Menschen kritisieren ein Verbot von Alkohol aber. Sie sagen zum Beispiel: Viele Obdach·lose trinken Alkohol. Obdach·lose sind Menschen. Obdach·lose haben keine Wohnung. Obdach·lose haben nämlich wenig Geld. Deshalb können Obdach·lose oft keine Wohnung bezahlen. Und deshalb schlafen Obdach·lose zum Beispiel draußen. Diese Menschen vertreibt das Verbot von Alkohol. Sie gehen dann an andere Plätze. An diesen Plätzen bekommen sie aber keine Hilfe. Rund um den Haupt·bahnhof gibt es aber Hilfe für Obdach·lose. Es gibt zum Beispiel besondere Aufenthalts·räume. Wir dürfen Obdachlose nicht vom Haupt·bahnhof vertreiben. 
9,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Brennender-Frachter-auf-der-Nordsee,frachter678.html",Brennender Frachter auf der Nordsee,  Auf einem Frachter ist ein großes Feuer. Ein Frachter ist ein Schiff. Und ein Frachter transportiert Waren. Dieser Frachter ist auf der Nordsee. Und dieser Frachter ist vor Ameland. Ameland ist eine Insel in der Nordsee. Und Ameland gehört zu den Niederlanden. Der Frachter ist in Bremerhaven losgefahren. Bremerhaven ist eine Stadt an der Nordsee. Und Bremerhaven gehört zum Bundes·land Bremen. Er wollte nach Ägypten fahren. Ägypten ist ein Land im Nord·osten von Afrika. Aber in der Nacht ist ein Feuer auf dem Frachter ausgebrochen. Bei dem Feuer ist ein Mann gestorben. Und einige andere Menschen wurden verletzt. Fach·leute haben gesagt: Vielleicht sinkt der Frachter. Er ist nämlich stark beschädigt.  Was ist passiert? Der Frachter transportiert fast 3000 Autos. Einige von diesen Autos sind Elektro·autos. Elektro·autos fahren mit Strom. Dieser Strom kommt aus einer besonderen Batterie im Auto. Diese Batterie können Menschen wieder aufladen. Wahrscheinlich ist das Feuer in einem Elektro·auto ausgebrochen. Dann hat sich das Feuer schnell ausgebreitet.  Auf dem Frachter waren 23 Menschen. Sie wollten das Feuer löschen. Aber das Feuer war schon zu groß. Dann sind manche Menschen in die Nordsee gesprungen. Und einige Menschen wurden mit Hubschraubern von dem Frachter geholt. Ein Mann ist gestorben. Und einige andere Menschen wurden verletzt. Aber keiner von diesen Menschen ist in Lebens·gefahr. Das heißt: Keiner von diesen Menschen stirbt an seinen Verletzungen.  Sorge vor Umwelt·schäden Jetzt machen sich viele Menschen Sorgen. Die Menschen sagen: Sinkt der Frachter? Dann sind zum Beispiel viele Autos im Wasser. Und viel Treib·stoff. Ein Treib·stoff kann einen Motor antreiben. Zum Beispiel den Motor von einem Auto. Ein Treib·stoff ist zum Beispiel Benzin. Oder Diesel. Und dann gibt es große Umwelt·schäden in der Nordsee. In dem Treib·stoff sind nämlich viele Schad·stoffe. Schad·stoffe sind gefährliche Stoffe. Manche Schad·stoffe machen zum Beispiel die Luft schmutzig. Oder das Meer. Deshalb sind Schad·stoffe schlecht für die Natur. Und für die Menschen. 
10,"https://www.ndr.de/fernsehen/barrierefreie_angebote/leichte_sprache/Freibad-in-Emden-wieder-geoeffnet,freibad754.html",Frei·bad in Emden wieder geöffnet, Bilder zu dieser Nachricht finden Sie unten auf der Seite. Vor 2 Wochen war in Emden ein großes Feuer. Emden ist eine Stadt im Nord·westen von Niedersachsen. Dieses Feuer war in einem Frei·bad. In einem Frei·bad können Menschen draußen schwimmen. Bei diesem Feuer wurde kein Mensch verletzt. Aber das Feuer hat zum Beispiel die Umkleide·kabinen zerstört. Deshalb war das Frei·bad geschlossen. Jetzt ist es aber wieder geöffnet.  Verein besorgt Container Das Frei·bad gehört einem Verein. Dieser Verein hat gesagt: Viele Dinge in dem Frei·bad sind immer noch kaputt. Zum Beispiel die Umkleide·kabinen. Die Duschen. Und die Toiletten. Aber wir haben Container besorgt. Und in diesen Containern können sich die Menschen umziehen. Oder auf die Toilette gehen. Duschen können die Menschen nur draußen.  Die Polizei hat gesagt: Wahrscheinlich hat jemand das Feuer in dem Frei·bad absichtlich gemacht. Aber wir wissen noch nicht: Wer hat das Feuer gemacht? Wir suchen den Täter noch.
